79 98
0 1 0.0333333333333
1 2 0.0833333333333
1 4 0.0333333333333
2 6 0.0333333333333
3 5 0.0833333333333
3 8 0.0333333333333
4 4 1
5 10 0.0333333333333
6 3 1
7 9 0.0833333333333
7 12 0.0333333333333
8 8 1
9 14 0.0333333333333
10 7 1
11 13 0.0833333333333
11 16 0.0333333333333
12 12 1
13 18 0.0333333333333
14 11 1
15 17 0.0833333333333
15 20 0.0333333333333
16 16 1
17 22 0.0333333333333
18 15 1
19 21 0.0833333333333
19 24 0.0333333333333
20 20 1
21 26 0.0333333333333
22 19 1
23 25 0.0833333333333
23 28 0.0333333333333
24 24 1
25 30 0.0333333333333
26 23 1
27 29 0.0833333333333
27 32 0.0333333333333
28 28 1
29 34 0.0333333333333
30 27 1
31 33 0.0833333333333
31 36 0.0333333333333
32 32 1
33 38 0.0333333333333
34 31 1
35 37 0.0833333333333
35 40 0.0333333333333
36 36 1
37 42 0.0333333333333
38 35 1
39 41 0.0833333333333
39 44 0.0333333333333
40 40 1
41 46 0.0333333333333
42 39 1
43 45 0.0833333333333
43 48 0.0333333333333
44 44 1
45 50 0.0333333333333
46 43 1
47 49 0.0833333333333
47 52 0.0333333333333
48 48 1
49 54 0.0333333333333
50 47 1
51 53 0.0833333333333
51 56 0.0333333333333
52 52 1
53 58 0.0333333333333
54 51 1
55 57 0.0833333333333
55 60 0.0333333333333
56 56 1
57 62 0.0333333333333
58 55 1
59 61 0.0833333333333
59 64 0.0333333333333
60 60 1
61 66 0.0333333333333
62 59 1
63 65 0.0833333333333
63 68 0.0333333333333
64 64 1
65 70 0.0333333333333
66 63 1
67 69 0.0833333333333
67 72 0.0333333333333
68 68 1
69 74 0.0333333333333
70 67 1
71 73 0.0833333333333
71 76 0.0333333333333
72 72 1
73 78 0.0333333333333
74 71 1
75 77 0.0833333333333
76 76 1
77 77 1
78 75 1
