action,step,time,p,b,serving,c,getting
-,0,0.0,0,0,false,0,false
[producing],1,3.764043181694532,1,1,false,0,false
[producing],2,4.755319026538696,2,2,false,0,false
[con_ready],3,5.5197921590438614,2,2,true,0,true
[consuming],4,5.854988273686875,2,1,false,1,false
[con_ready],5,9.55643837450103,2,1,true,1,true
[consuming],6,10.128935243126772,2,0,false,2,false
[producing],7,31.595272534247442,3,1,false,2,false
[producing],8,46.33696672735794,4,2,false,2,false
[producing],9,46.769067354880406,5,3,false,2,false
[con_ready],10,48.88097969407416,5,3,true,2,true
[consuming],11,49.481864429192086,5,2,false,3,false
[producing],12,50.462240910502956,6,3,false,3,false
[producing],13,61.97810809403326,7,4,false,3,false
[producing],14,75.11108514518585,8,5,false,3,false
[con_ready],15,81.64500146838121,8,5,true,3,true
[consuming],16,83.50036255513439,8,4,false,4,false
[producing],17,84.67599026898154,9,5,false,4,false
[producing],18,86.04871186211219,10,6,false,4,false
[producing],19,93.37324102434029,11,7,false,4,false
[producing],20,104.73405986373689,12,8,false,4,false
[con_ready],21,105.54336626399888,12,8,true,4,true
[consuming],22,105.78483316693055,12,7,false,5,false
[con_ready],23,108.86562467256893,12,7,true,5,true
[consuming],24,109.38620546132537,12,6,false,6,false
[producing],25,122.76507330773859,13,7,false,6,false
[con_ready],26,123.09436292196382,13,7,true,6,true
[consuming],27,124.0251434632839,13,6,false,7,false
[producing],28,130.965700221199,14,7,false,7,false
[producing],29,139.15240520584243,15,8,false,7,false
[con_ready],30,140.73424380281736,15,8,true,7,true
[consuming],31,142.64636049067218,15,7,false,8,false
[con_ready],32,143.51664955476707,15,7,true,8,true
[consuming],33,144.76753073147458,15,6,false,9,false
[producing],34,148.20391639649006,16,7,false,9,false
[producing],35,149.53083221407996,17,8,false,9,false
[con_ready],36,175.89999519114025,17,8,true,9,true
[consuming],37,177.37182800927434,17,7,false,10,false
[producing],38,178.77007541192583,18,8,false,10,false
[con_ready],39,179.61521421923274,18,8,true,10,true
[consuming],40,179.7608343010598,18,7,false,11,false
[producing],41,183.88765134066205,19,8,false,11,false
[con_ready],42,185.14615930109753,19,8,true,11,true
[consuming],43,186.07164011352918,19,7,false,12,false
[producing],44,190.78033193277489,20,8,false,12,false
[con_ready],45,193.86115111817426,20,8,true,12,true
[consuming],46,195.17270356785392,20,7,false,13,false
[producing],47,197.33584927383848,21,8,false,13,false
[producing],48,202.43617101073406,22,9,false,13,false
[con_ready],49,218.65225832858746,22,9,true,13,true
[consuming],50,219.46947155106372,22,8,false,14,false
[producing],51,221.6111982172333,23,9,false,14,false
[con_ready],52,226.93199952184338,23,9,true,14,true
[consuming],53,229.7858876960553,23,8,false,15,false
[producing],54,231.1278690508827,24,9,false,15,false
[con_ready],55,254.24015554242132,24,9,true,15,true
[consuming],56,254.45578660201502,24,8,false,16,false
[con_ready],57,263.7774711813111,24,8,true,16,true
[consuming],58,265.3980006663941,24,7,false,17,false
[producing],59,274.85191568905645,25,8,false,17,false
[con_ready],60,277.663497141127,25,8,true,17,true
[consuming],61,277.6755353338778,25,7,false,18,false
[producing],62,284.99375378716417,26,8,false,18,false
[con_ready],63,289.6427253328836,26,8,true,18,true
[consuming],64,289.9064215121585,26,7,false,19,false
[producing],65,301.45553411076014,27,8,false,19,false
[con_ready],66,302.57047301863844,27,8,true,19,true
[consuming],67,303.12944369994915,27,7,false,20,false
[con_ready],68,305.2928909434582,27,7,true,20,true
[consuming],69,305.4087622739836,27,6,false,21,false
[con_ready],70,321.0778753861617,27,6,true,21,true
[consuming],71,321.17427852144675,27,5,false,22,false
[producing],72,338.09271457768307,28,6,false,22,false
[producing],73,342.3710051178425,29,7,false,22,false
[con_ready],74,366.4596930330221,29,7,true,22,true
[consuming],75,368.48018073547274,29,6,false,23,false
[con_ready],76,375.26218224309304,29,6,true,23,true
[consuming],77,376.4278160363523,29,5,false,24,false
[producing],78,379.56394323800055,30,6,false,24,false
[con_ready],79,387.8065127250977,30,6,true,24,true
[consuming],80,387.94294392851947,30,5,false,25,false
[con_ready],81,392.58684209773617,30,5,true,25,true
[consuming],82,393.1226753907146,30,4,false,26,false
[con_ready],83,394.4097497792752,30,4,true,26,true
[consuming],84,394.9758683468851,30,3,false,27,false
[producing],85,408.4573478143531,31,4,false,27,false
[con_ready],86,410.67003891479453,31,4,true,27,true
[consuming],87,412.3555028011375,31,3,false,28,false
[producing],88,417.7217472474362,32,4,false,28,false
[producing],89,418.7406046414675,33,5,false,28,false
[producing],90,426.2449665554871,34,6,false,28,false
[producing],91,429.78309308968755,35,7,false,28,false
[producing],92,430.524701471147,36,8,false,28,false
[producing],93,436.2587476072752,37,9,false,28,false
[con_ready],94,437.71256709058974,37,9,true,28,true
[consuming],95,438.2409014615913,37,8,false,29,false
[producing],96,441.8436459070823,38,9,false,29,false
[producing],97,448.95910502362494,39,10,false,29,false
[producing],98,451.562936155618,40,11,false,29,false
[con_ready],99,459.90094523960374,40,11,true,29,true
[consuming],100,461.0107783780309,40,10,false,30,false
[producing],101,463.39940773569026,41,11,false,30,false
[con_ready],102,463.5456324313001,41,11,true,30,true
[consuming],103,463.75729946874446,41,10,false,31,false
[producing],104,463.82226564670475,42,11,false,31,false
[producing],105,475.06495864119915,43,12,false,31,false
[con_ready],106,479.48971183544444,43,12,true,31,true
[consuming],107,480.35495057375664,43,11,false,32,false
[producing],108,482.99699799381347,44,12,false,32,false
[producing],109,488.1413920729056,45,13,false,32,false
[producing],110,493.75904676305055,46,14,false,32,false
[producing],111,497.9253441368675,47,15,false,32,false
[con_ready],112,498.4735233398335,47,15,true,32,true
[consuming],113,498.70088008153976,47,14,false,33,false
[con_ready],114,505.94111051730243,47,14,true,33,true
[consuming],115,506.39260522583567,47,13,false,34,false
[con_ready],116,509.4927263281965,47,13,true,34,true
[consuming],117,510.97633562391127,47,12,false,35,false
[producing],118,511.66214560638804,48,13,false,35,false
[producing],119,512.4397074328805,49,14,false,35,false
[con_ready],120,514.8510928936138,49,14,true,35,true
[consuming],121,514.971957081214,49,13,false,36,false
[producing],122,520.0067602860563,50,14,false,36,false
[con_ready],123,521.0210066675453,50,14,true,36,true
[consuming],124,522.3985995428981,50,13,false,37,false
[con_ready],125,528.2573117948689,50,13,true,37,true
[consuming],126,530.5702685117724,50,12,false,38,false
[producing],127,537.6641997994692,51,13,false,38,false
[con_ready],128,538.3627248534914,51,13,true,38,true
[consuming],129,538.7686531084497,51,12,false,39,false
[producing],130,543.5265372391647,52,13,false,39,false
[con_ready],131,545.0926655900985,52,13,true,39,true
[consuming],132,546.7446049446721,52,12,false,40,false
[con_ready],133,552.5963789340639,52,12,true,40,true
[consuming],134,552.7907030769894,52,11,false,41,false
[producing],135,563.385325153796,53,12,false,41,false
[producing],136,569.7395774865619,54,13,false,41,false
[con_ready],137,588.6237770041112,54,13,true,41,true
[consuming],138,588.7814396459505,54,12,false,42,false
[con_ready],139,591.7092603896509,54,12,true,42,true
[consuming],140,595.1523856348567,54,11,false,43,false
[producing],141,597.7478824952886,55,12,false,43,false
[producing],142,602.3109239372122,56,13,false,43,false
[producing],143,607.3190821480356,57,14,false,43,false
[producing],144,633.1722178281465,58,15,false,43,false
[producing],145,633.3469039664964,59,16,false,43,false
[con_ready],146,636.0374661642389,59,16,true,43,true
[consuming],147,637.946484353946,59,15,false,44,false
[producing],148,642.486729403608,60,16,false,44,false
[producing],149,648.543608916164,61,17,false,44,false
[con_ready],150,653.1594187438232,61,17,true,44,true
[consuming],151,653.2082192389046,61,16,false,45,false
[con_ready],152,658.0730497221671,61,16,true,45,true
[consuming],153,658.5118409434616,61,15,false,46,false
[con_ready],154,661.0279850939115,61,15,true,46,true
[consuming],155,662.6663016343232,61,14,false,47,false
[con_ready],156,672.2606333319192,61,14,true,47,true
[consuming],157,672.6701569478671,61,13,false,48,false
[producing],158,672.9002709566578,62,14,false,48,false
[con_ready],159,679.2181072282451,62,14,true,48,true
[consuming],160,680.1570879798501,62,13,false,49,false
[con_ready],161,688.5641541801823,62,13,true,49,true
[consuming],162,688.8477332888899,62,12,false,50,false
[producing],163,691.3950170959963,63,13,false,50,false
[con_ready],164,696.272557419222,63,13,true,50,true
[consuming],165,697.2818110202711,63,12,false,51,false
[con_ready],166,698.5332108322184,63,12,true,51,true
[consuming],167,700.1836506956553,63,11,false,52,false
[producing],168,719.0290264139118,64,12,false,52,false
[con_ready],169,722.4281545596983,64,12,true,52,true
[consuming],170,724.1190691534067,64,11,false,53,false
[con_ready],171,737.2529269160065,64,11,true,53,true
[consuming],172,738.6289511049426,64,10,false,54,false
[con_ready],173,739.1996800517895,64,10,true,54,true
[consuming],174,740.347359506937,64,9,false,55,false
[producing],175,740.784575852214,65,10,false,55,false
[producing],176,742.5356537021948,66,11,false,55,false
[producing],177,755.1682811835132,67,12,false,55,false
[producing],178,772.9418690320923,68,13,false,55,false
[producing],179,773.3238253988447,69,14,false,55,false
[producing],180,774.2856192688066,70,15,false,55,false
[producing],181,779.3193853668446,71,16,false,55,false
[producing],182,781.2633614696307,72,17,false,55,false
[producing],183,782.7002610097408,73,18,false,55,false
[con_ready],184,789.4604307627119,73,18,true,55,true
[consuming],185,789.7677946071898,73,17,false,56,false
[con_ready],186,796.098287301603,73,17,true,56,true
[consuming],187,797.0320838748071,73,16,false,57,false
[producing],188,810.9778259966172,74,17,false,57,false
[producing],189,825.9217557050732,75,18,false,57,false
[con_ready],190,830.5515856029001,75,18,true,57,true
[consuming],191,831.4501939602168,75,17,false,58,false
[producing],192,850.8391191002494,76,18,false,58,false
[con_ready],193,862.7477257696164,76,18,true,58,true
[consuming],194,863.8145188779969,76,17,false,59,false
[producing],195,864.4743857839194,77,18,false,59,false
[producing],196,870.1739324552942,78,19,false,59,false
[con_ready],197,870.6855654346948,78,19,true,59,true
[consuming],198,872.0601132017721,78,18,false,60,false
[producing],199,883.8636624697409,79,19,false,60,false
[producing],200,894.0538899625348,80,20,false,60,false
[con_ready],201,914.0202116605969,80,20,true,60,true
[consuming],202,914.422801242926,80,19,false,61,false
[con_ready],203,917.6695187462784,80,19,true,61,true
[consuming],204,918.0990836561627,80,18,false,62,false
[con_ready],205,921.5951031529462,80,18,true,62,true
[consuming],206,922.6759060435955,80,17,false,63,false
[con_ready],207,948.523928622392,80,17,true,63,true
[consuming],208,948.6949009065897,80,16,false,64,false
[con_ready],209,959.5859555778421,80,16,true,64,true
[consuming],210,960.1142349282173,80,15,false,65,false
[con_ready],211,970.7458216829095,80,15,true,65,true
[consuming],212,972.0076627727312,80,14,false,66,false
[con_ready],213,977.6272221646379,80,14,true,66,true
[consuming],214,978.0029389850836,80,13,false,67,false
[con_ready],215,978.4257471013685,80,13,true,67,true
[consuming],216,982.7581652611103,80,12,false,68,false
[con_ready],217,996.1152528931142,80,12,true,68,true
[consuming],218,996.7508527940093,80,11,false,69,false
[con_ready],219,1021.2290146255647,80,11,true,69,true
[consuming],220,1021.6381924637119,80,10,false,70,false
[con_ready],221,1027.1842196256591,80,10,true,70,true
[consuming],222,1027.5787352368382,80,9,false,71,false
[con_ready],223,1029.1062723611901,80,9,true,71,true
[consuming],224,1029.9642088262271,80,8,false,72,false
[con_ready],225,1036.720009523785,80,8,true,72,true
[consuming],226,1036.9504125494582,80,7,false,73,false
[con_ready],227,1048.7770901941976,80,7,true,73,true
[consuming],228,1048.816473357228,80,6,false,74,false
[con_ready],229,1087.1658305123437,80,6,true,74,true
[consuming],230,1090.1008679364982,80,5,false,75,false
[con_ready],231,1102.3390563088874,80,5,true,75,true
[consuming],232,1103.5594020156238,80,4,false,76,false
[con_ready],233,1106.5161921623198,80,4,true,76,true
[consuming],234,1107.940918182731,80,3,false,77,false
[con_ready],235,1113.5578815542524,80,3,true,77,true
[consuming],236,1116.0780481520583,80,2,false,78,false
[con_ready],237,1126.9616768112342,80,2,true,78,true
[consuming],238,1127.827299067844,80,1,false,79,false
[con_ready],239,1143.9732713079472,80,1,true,79,true
[consuming],240,1145.679106094037,80,0,false,80,false
