action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,21.513312164001622,1,1,false,false,0,false,0,false
[con_ready1],2,24.66249893283573,1,1,true,false,0,true,0,false
[consuming1],3,25.672646498266445,1,0,false,false,1,false,0,false
[producing],4,65.18074215079633,2,1,false,false,1,false,0,false
[con_ready1],5,72.84886801407029,2,1,true,false,1,true,0,false
[consuming1],6,73.70034624539151,2,0,false,false,2,false,0,false
[producing],7,106.43065549749718,3,1,false,false,2,false,0,false
[con_ready2],8,113.61424410991931,3,1,false,true,2,false,0,true
[consuming2],9,114.66118377142735,3,0,false,false,2,false,1,false
[producing],10,118.28805485480895,4,1,false,false,2,false,1,false
[con_ready2],11,138.9758265951965,4,1,false,true,2,false,1,true
[consuming2],12,139.40987625787747,4,0,false,false,2,false,2,false
[producing],13,140.27949349610498,5,1,false,false,2,false,2,false
[producing],14,148.45105924853598,6,2,false,false,2,false,2,false
[con_ready2],15,152.90643860795612,6,2,false,true,2,false,2,true
[consuming2],16,152.9234838384902,6,1,false,false,2,false,3,false
[con_ready2],17,163.42665719509833,6,1,false,true,2,false,3,true
[consuming2],18,164.39054542976336,6,0,false,false,2,false,4,false
[producing],19,167.3038195796462,7,1,false,false,2,false,4,false
[con_ready1],20,184.37962605282615,7,1,true,false,2,true,4,false
[consuming1],21,186.11214382917672,7,0,false,false,3,false,4,false
[producing],22,253.93595445972613,8,1,false,false,3,false,4,false
[con_ready2],23,255.881831259072,8,1,false,true,3,false,4,true
[consuming2],24,255.8944199418291,8,0,false,false,3,false,5,false
[producing],25,323.339129842982,9,1,false,false,3,false,5,false
[producing],26,339.01665376644496,10,2,false,false,3,false,5,false
[con_ready1],27,366.6514166018048,10,2,true,false,3,true,5,false
[consuming1],28,368.70609226129795,10,1,false,false,4,false,5,false
[con_ready1],29,372.598830499882,10,1,true,false,4,true,5,false
[consuming1],30,373.76212093660996,10,0,false,false,5,false,5,false
[producing],31,398.5452576577944,11,1,false,false,5,false,5,false
[con_ready2],32,403.62994405548733,11,1,false,true,5,false,5,true
[consuming2],33,403.9211017597458,11,0,false,false,5,false,6,false
[producing],34,414.97617297038386,12,1,false,false,5,false,6,false
[producing],35,421.6848143994202,13,2,false,false,5,false,6,false
[producing],36,424.73712641892376,14,3,false,false,5,false,6,false
[producing],37,428.0103199923894,15,4,false,false,5,false,6,false
[con_ready1],38,428.44751425836614,15,4,true,false,5,true,6,false
[consuming1],39,428.4757100394481,15,3,false,false,6,false,6,false
[con_ready1],40,429.67135003357726,15,3,true,false,6,true,6,false
[consuming1],41,430.4660276746446,15,2,false,false,7,false,6,false
[con_ready1],42,431.612945291209,15,2,true,false,7,true,6,false
[consuming1],43,433.7491382475902,15,1,false,false,8,false,6,false
[con_ready2],44,446.3079014559465,15,1,false,true,8,false,6,true
[consuming2],45,446.44935761839747,15,0,false,false,8,false,7,false
[producing],46,459.12548853710314,16,1,false,false,8,false,7,false
[con_ready2],47,463.81646091785257,16,1,false,true,8,false,7,true
[consuming2],48,464.7940680021165,16,0,false,false,8,false,8,false
[producing],49,474.7416050202708,17,1,false,false,8,false,8,false
[producing],50,480.07029676536825,18,2,false,false,8,false,8,false
[con_ready2],51,506.67554953522756,18,2,false,true,8,false,8,true
[consuming2],52,508.5509731584492,18,1,false,false,8,false,9,false
[con_ready2],53,531.432982714901,18,1,false,true,8,false,9,true
[consuming2],54,531.8257880187209,18,0,false,false,8,false,10,false
[producing],55,575.4024111606604,19,1,false,false,8,false,10,false
[con_ready2],56,579.2758793825562,19,1,false,true,8,false,10,true
[consuming2],57,580.6593434150742,19,0,false,false,8,false,11,false
[producing],58,592.963298500735,20,1,false,false,8,false,11,false
[con_ready1],59,594.1068312872634,20,1,true,false,8,true,11,false
[consuming1],60,594.3620584702566,20,0,false,false,9,false,11,false
