action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,20.268609979170066,1,1,false,false,0,false,0,false
[con_ready2],2,25.95918943287152,1,1,false,true,0,false,0,true
[consuming2],3,28.153041161590565,1,0,false,false,0,false,1,false
[producing],4,45.779938894108426,2,1,false,false,0,false,1,false
[con_ready2],5,46.104203330189215,2,1,false,true,0,false,1,true
[consuming2],6,46.639771193213036,2,0,false,false,0,false,2,false
[producing],7,54.41866841036487,3,1,false,false,0,false,2,false
[con_ready2],8,56.799194925034044,3,1,false,true,0,false,2,true
[consuming2],9,57.25913163844772,3,0,false,false,0,false,3,false
[producing],10,61.53707731702321,4,1,false,false,0,false,3,false
[producing],11,63.60276921953341,5,1,true,false,0,false,3,false
