action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,75.51567557253115,1,1,false,false,0,false,0,false
[con_ready1],2,106.98968066255262,1,1,true,false,0,true,0,false
[consuming1],3,107.02948771326082,1,0,false,false,1,false,0,false
[producing],4,119.27805476849521,2,1,false,false,1,false,0,false
[con_ready2],5,136.78776984763135,2,1,false,true,1,false,0,true
[consuming2],6,137.08462656667024,2,0,false,false,1,false,1,false
[producing],7,168.85274158723183,3,1,false,false,1,false,1,false
[con_ready2],8,192.4767479775475,3,1,false,true,1,false,1,true
[consuming2],9,193.29618529727313,3,0,false,false,1,false,2,false
[producing],10,199.84293544886546,4,1,false,false,1,false,2,false
[con_ready1],11,209.60991914806988,4,1,true,false,1,true,2,false
[consuming1],12,210.4984121461394,4,0,false,false,2,false,2,false
[producing],13,250.83174714729103,5,1,false,false,2,false,2,false
[producing],14,260.67322293307166,6,2,false,false,2,false,2,false
[con_ready1],15,263.77811058070984,6,2,true,false,2,true,2,false
[consuming1],16,265.0417019252673,6,1,false,false,3,false,2,false
[con_ready2],17,265.2235532793364,6,1,false,true,3,false,2,true
[consuming2],18,265.50914977113285,6,0,false,false,3,false,3,false
[producing],19,279.3658711214806,7,1,false,false,3,false,3,false
[producing],20,285.1950734828738,8,2,false,false,3,false,3,false
[con_ready1],21,293.14944415314864,8,2,true,false,3,true,3,false
[consuming1],22,294.3342016684704,8,1,false,false,4,false,3,false
[con_ready1],23,298.12510488834056,8,1,true,false,4,true,3,false
[consuming1],24,299.50988088385674,8,0,false,false,5,false,3,false
[producing],25,316.90983468126984,9,1,false,false,5,false,3,false
[con_ready2],26,323.204780947668,9,1,false,true,5,false,3,true
[consuming2],27,323.78686642236556,9,0,false,false,5,false,4,false
[producing],28,329.6161790528893,10,1,false,false,5,false,4,false
[con_ready2],29,332.09198020902517,10,1,false,true,5,false,4,true
[consuming2],30,332.39466336226275,10,0,false,false,5,false,5,false
[producing],31,336.48392073364937,11,1,false,false,5,false,5,false
[con_ready2],32,348.0690882430461,11,1,false,true,5,false,5,true
[consuming2],33,349.6585701894433,11,0,false,false,5,false,6,false
[producing],34,359.491486310378,12,1,false,false,5,false,6,false
[con_ready2],35,382.82840648898485,12,1,false,true,5,false,6,true
[consuming2],36,382.9339231842153,12,0,false,false,5,false,7,false
[producing],37,458.7276527289287,13,1,false,false,5,false,7,false
[con_ready2],38,462.51189903434454,13,1,false,true,5,false,7,true
[consuming2],39,462.65809287614815,13,0,false,false,5,false,8,false
[producing],40,505.8228791024106,14,1,false,false,5,false,8,false
[producing],41,520.7037193135149,15,2,false,false,5,false,8,false
[con_ready2],42,524.6014313071062,15,2,false,true,5,false,8,true
[consuming2],43,524.834839156019,15,1,false,false,5,false,9,false
[producing],44,530.7226388878764,16,2,false,false,5,false,9,false
[con_ready1],45,531.6034673808175,16,2,true,false,5,true,9,false
[consuming1],46,532.7984647176349,16,1,false,false,6,false,9,false
[con_ready2],47,547.0721121280142,16,1,false,true,6,false,9,true
[consuming2],48,547.6726548120364,16,0,false,false,6,false,10,false
[producing],49,551.5745427072059,17,1,false,false,6,false,10,false
[producing],50,587.3017396095228,18,2,false,false,6,false,10,false
[con_ready2],51,600.1247256794294,18,2,false,true,6,false,10,true
[consuming2],52,600.8629015579572,18,1,false,false,6,false,11,false
[con_ready2],53,601.6867908795865,18,1,false,true,6,false,11,true
[consuming2],54,603.239769759019,18,0,false,false,6,false,12,false
[producing],55,615.7225704480626,19,1,false,false,6,false,12,false
[con_ready2],56,635.1837729955553,19,1,false,true,6,false,12,true
[consuming2],57,635.535584721963,19,0,false,false,6,false,13,false
[producing],58,701.1795084852395,20,1,false,false,6,false,13,false
[con_ready1],59,705.2146256915466,20,1,true,false,6,true,13,false
[consuming1],60,712.6716232077787,20,0,false,false,7,false,13,false
