action,step,time,p,p2,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,0,false,false,0,false,0,false
[producing2],1,3.920946266790073,0,1,1,false,false,0,false,0,false
[con_ready1],2,9.34212811587684,0,1,2,false,false,0,true,0,false
[con_ready2],3,25.246453582381978,0,1,2,false,true,0,true,0,true
[consuming2],4,25.97056257959579,0,1,1,false,false,0,true,1,false
[con_ready2],5,28.85435001825421,0,1,1,false,true,0,true,1,true
[consuming2],6,29.514782673221777,0,1,0,false,false,0,true,2,false
[producing2],7,99.65034575326607,0,2,1,false,false,0,true,2,false
[producing2],8,107.02974287628602,0,3,1,true,false,0,true,2,false
[consuming1],9,107.88745585532953,0,3,0,false,false,1,false,2,false
[producing],10,160.75997158149113,1,3,1,false,false,1,false,2,false
[con_ready1],11,165.64587435781127,1,3,2,false,false,1,true,2,false
[con_ready2],12,172.300549047508,1,3,2,false,true,1,true,2,true
[consuming2],13,172.93933413262212,1,3,1,false,false,1,true,3,false
[producing2],14,175.0970767850374,1,4,1,true,false,1,true,3,false
[consuming1],15,176.2348090068532,1,4,0,false,false,2,false,3,false
[producing2],16,176.44116854871353,1,5,1,false,false,2,false,3,false
[producing2],17,190.55067720636916,1,6,1,true,false,2,false,3,false
