action,step,time,p,p2,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,0,false,false,0,false,0,false
[producing],1,2.4001859846406393,1,0,1,false,false,0,false,0,false
[con_ready2],2,3.3349008224329997,1,0,1,false,true,0,false,0,true
[consuming2],3,3.5687854115968727,1,0,0,false,false,0,false,1,false
[producing],4,4.856603477565472,2,0,1,false,false,0,false,1,false
[con_ready1],5,17.09784581234687,2,0,1,true,false,0,true,1,false
[consuming1],6,17.38157292692382,2,0,0,false,false,1,false,1,false
[producing],7,25.756164042385237,3,0,1,false,false,1,false,1,false
[con_ready1],8,39.81944530053509,3,0,1,true,false,1,true,1,false
[consuming1],9,39.84184674614847,3,0,0,false,false,2,false,1,false
[producing2],10,49.844644551175314,3,1,1,false,false,2,false,1,false
[con_ready2],11,50.26474521040502,3,1,1,false,true,2,false,1,true
[consuming2],12,50.27452030401209,3,1,0,false,false,2,false,2,false
[producing2],13,83.02168987517163,3,2,1,false,false,2,false,2,false
[con_ready1],14,94.46813004824268,3,2,1,true,false,2,true,2,false
[consuming1],15,94.8303346622582,3,2,0,false,false,3,false,2,false
[producing2],16,99.05074020862749,3,3,1,false,false,3,false,2,false
[con_ready2],17,108.06990304844459,3,3,1,false,true,3,false,2,true
[consuming2],18,109.84590319666046,3,3,0,false,false,3,false,3,false
[producing2],19,128.8501482140227,3,4,1,false,false,3,false,3,false
[producing2],20,136.43535419888732,3,5,2,false,false,3,false,3,false
[producing2],21,138.52979957783708,3,6,3,false,false,3,false,3,false
[con_ready1],22,145.19939383851448,3,6,3,true,false,3,true,3,false
[consuming1],23,145.73851293821613,3,6,2,false,false,4,false,3,false
[con_ready2],24,153.54818092285623,3,6,2,false,true,4,false,3,true
[consuming2],25,155.50231531978804,3,6,1,false,false,4,false,4,false
[con_ready1],26,169.8529973905707,3,6,1,true,false,4,true,4,false
[consuming1],27,173.98449810219003,3,6,0,false,false,5,false,4,false
[producing2],28,180.40328685313182,3,7,1,false,false,5,false,4,false
[producing],29,181.73037069773807,4,7,2,false,false,5,false,4,false
[producing2],30,184.01954609853541,4,8,3,false,false,5,false,4,false
[con_ready2],31,185.44205062123692,4,8,3,false,true,5,false,4,true
[consuming2],32,186.54975993615585,4,8,2,false,false,5,false,5,false
[producing2],33,188.83527377963458,4,9,3,false,false,5,false,5,false
[producing2],34,189.1244170709547,4,10,4,false,false,5,false,5,false
[con_ready1],35,204.2472950675084,4,10,4,true,false,5,true,5,false
[consuming1],36,204.44290090614916,4,10,3,false,false,6,false,5,false
[con_ready1],37,213.8286166299093,4,10,3,true,false,6,true,5,false
[consuming1],38,213.85423672894177,4,10,2,false,false,7,false,5,false
[producing],39,216.28103889289503,5,10,3,false,false,7,false,5,false
[con_ready2],40,218.04482686877003,5,10,3,false,true,7,false,5,true
[consuming2],41,218.16117167905338,5,10,2,false,false,7,false,6,false
[con_ready1],42,237.65645044305813,5,10,2,true,false,7,true,6,false
[consuming1],43,238.81304693719392,5,10,1,false,false,8,false,6,false
[producing],44,245.35856736125703,6,10,2,false,false,8,false,6,false
[con_ready1],45,248.28005629517816,6,10,2,true,false,8,true,6,false
[consuming1],46,249.29853356630701,6,10,1,false,false,9,false,6,false
[producing],47,267.3630623174407,7,10,2,false,false,9,false,6,false
[con_ready1],48,268.64625915627107,7,10,2,true,false,9,true,6,false
[consuming1],49,272.48000271979936,7,10,1,false,false,10,false,6,false
[con_ready2],50,273.5802768881775,7,10,1,false,true,10,false,6,true
[consuming2],51,274.17736548848876,7,10,0,false,false,10,false,7,false
[producing],52,277.32924390870915,8,10,1,false,false,10,false,7,false
[con_ready2],53,300.86773265207813,8,10,1,false,true,10,false,7,true
[consuming2],54,300.92004988893297,8,10,0,false,false,10,false,8,false
[producing],55,331.8107264975888,9,10,1,false,false,10,false,8,false
[producing],56,334.9174928810681,10,10,2,false,false,10,false,8,false
[con_ready2],57,350.9237855664492,10,10,2,false,true,10,false,8,true
[consuming2],58,351.6846782224047,10,10,1,false,false,10,false,9,false
[con_ready2],59,353.15317424958386,10,10,1,false,true,10,false,9,true
[consuming2],60,353.29918738651037,10,10,0,false,false,10,false,10,false
