action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,4.44795134252436,1,1,false,false,false,0,false,0,false,0,false
[con_ready2],2,7.2124636845509755,1,1,false,true,false,0,false,0,true,0,false
[consuming2],3,7.326359175391239,1,0,false,false,false,0,false,1,false,0,false
[producing],4,31.881704734847606,2,1,false,false,false,0,false,1,false,0,false
[con_ready1],5,47.68851218276345,2,1,true,false,false,0,true,1,false,0,false
[consuming1],6,48.18169327229421,2,0,false,false,false,1,false,1,false,0,false
[producing],7,132.35562601245368,3,1,false,false,false,1,false,1,false,0,false
[con_ready1],8,138.3024492720842,3,1,true,false,false,1,true,1,false,0,false
[consuming1],9,139.89957004340334,3,0,false,false,false,2,false,1,false,0,false
[producing],10,204.29917253775477,4,1,false,false,false,2,false,1,false,0,false
[producing],11,229.49932036916167,5,2,false,false,false,2,false,1,false,0,false
[con_ready2],12,233.61991949007822,5,2,false,true,false,2,false,1,true,0,false
[consuming2],13,234.78375230895261,5,1,false,false,false,2,false,2,false,0,false
[con_ready1],14,241.52065030774364,5,1,true,false,false,2,true,2,false,0,false
[consuming1],15,242.12104346833135,5,0,false,false,false,3,false,2,false,0,false
[producing],16,251.28580210518825,6,1,false,false,false,3,false,2,false,0,false
[con_ready1],17,262.72247949438776,6,1,true,false,false,3,true,2,false,0,false
[consuming1],18,262.8905854469013,6,0,false,false,false,4,false,2,false,0,false
[producing],19,266.3936540917498,7,1,false,false,false,4,false,2,false,0,false
[producing],20,271.0530293254311,8,2,false,false,false,4,false,2,false,0,false
[con_ready3],21,285.28293470787685,8,2,false,false,true,4,false,2,false,0,true
[consuming3],22,288.7107275933587,8,1,false,false,false,4,false,2,false,1,false
[con_ready2],23,295.30166234031543,8,1,false,true,false,4,false,2,true,1,false
[consuming2],24,296.8352523269025,8,0,false,false,false,4,false,3,false,1,false
[producing],25,357.16852611182907,9,1,false,false,false,4,false,3,false,1,false
[producing],26,361.6781359212345,10,2,false,false,false,4,false,3,false,1,false
[con_ready1],27,361.8020060758168,10,2,true,false,false,4,true,3,false,1,false
[consuming1],28,362.8910599553966,10,1,false,false,false,5,false,3,false,1,false
[con_ready2],29,397.52329393414476,10,1,false,true,false,5,false,3,true,1,false
[consuming2],30,398.31800348817006,10,0,false,false,false,5,false,4,false,1,false
