action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,24.098384064316605,1,1,false,false,false,0,false,0,false,0,false
[con_ready2],2,31.48904145910987,1,1,false,true,false,0,false,0,true,0,false
[consuming2],3,32.72884256440186,1,0,false,false,false,0,false,1,false,0,false
[producing],4,49.603556921292125,2,1,false,false,false,0,false,1,false,0,false
[con_ready1],5,59.624093784504765,2,2,false,false,false,0,true,1,false,0,false
[con_ready3],6,63.47858278113105,2,2,false,false,true,0,true,1,false,0,true
[consuming3],7,63.5353094815566,2,1,false,false,false,0,true,1,false,1,false
[con_ready2],8,66.85798309514423,2,1,false,true,false,0,true,1,true,1,false
[consuming2],9,67.06849202177382,2,0,false,false,false,0,true,2,false,1,false
[producing],10,67.14828080398112,3,1,false,false,false,0,true,2,false,1,false
[con_ready3],11,84.60463542590838,3,1,false,false,true,0,true,2,false,1,true
[consuming3],12,85.45627185228174,3,0,false,false,false,0,true,2,false,2,false
[producing],13,86.75351021460668,4,1,false,false,false,0,true,2,false,2,false
[con_ready3],14,89.22704758981004,4,1,false,false,true,0,true,2,false,2,true
[consuming3],15,89.29781132136102,4,0,false,false,false,0,true,2,false,3,false
[producing],16,134.31483158479884,5,1,false,false,false,0,true,2,false,3,false
[con_ready2],17,136.9997469839922,5,1,false,true,false,0,true,2,true,3,false
[consuming2],18,137.7057444570246,5,0,false,false,false,0,true,3,false,3,false
[producing],19,186.51103885369028,6,1,false,false,false,0,true,3,false,3,false
[con_ready3],20,215.6129704197108,6,1,false,false,true,0,true,3,false,3,true
[consuming3],21,219.14076299245494,6,0,false,false,false,0,true,3,false,4,false
[producing],22,264.6400088620207,7,1,false,false,false,0,true,3,false,4,false
[producing],23,267.5425247726145,8,1,true,false,false,0,true,3,false,4,false
[consuming1],24,267.8885107875329,8,0,false,false,false,1,false,3,false,4,false
[producing],25,270.6398874104915,9,1,false,false,false,1,false,3,false,4,false
[con_ready1],26,274.2026890680447,9,2,false,false,false,1,true,3,false,4,false
[producing],27,291.9221684423791,10,2,true,false,false,1,true,3,false,4,false
[consuming1],28,293.6822409657858,10,1,false,false,false,2,false,3,false,4,false
[con_ready3],29,303.87549025963904,10,1,false,false,true,2,false,3,false,4,true
[consuming3],30,304.7149739235803,10,0,false,false,false,2,false,3,false,5,false
