action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,7.719116617790535,1,1,false,false,false,0,false,0,false,0,false
[producing],2,21.341849913947186,2,2,false,false,false,0,false,0,false,0,false
[con_ready1],3,34.647688903395206,2,2,true,false,false,0,true,0,false,0,false
[consuming1],4,35.49192017570901,2,1,false,false,false,1,false,0,false,0,false
[con_ready1],5,35.68160092868814,2,1,true,false,false,1,true,0,false,0,false
[consuming1],6,36.20909028248875,2,0,false,false,false,2,false,0,false,0,false
[producing],7,38.16754506519338,3,1,false,false,false,2,false,0,false,0,false
[con_ready3],8,56.09522701561997,3,1,false,false,true,2,false,0,false,0,true
[consuming3],9,56.54433778179105,3,0,false,false,false,2,false,0,false,1,false
[producing],10,96.30658071426174,4,1,false,false,false,2,false,0,false,1,false
[con_ready2],11,100.2235661032582,4,1,false,true,false,2,false,0,true,1,false
[consuming2],12,100.88985434765158,4,0,false,false,false,2,false,1,false,1,false
[producing],13,117.74929567834012,5,1,false,false,false,2,false,1,false,1,false
[con_ready1],14,129.52874411454482,5,1,true,false,false,2,true,1,false,1,false
[consuming1],15,129.6670248064624,5,0,false,false,false,3,false,1,false,1,false
[producing],16,166.90875233877205,6,1,false,false,false,3,false,1,false,1,false
[con_ready2],17,167.7012399224972,6,1,false,true,false,3,false,1,true,1,false
[consuming2],18,168.38409571110878,6,0,false,false,false,3,false,2,false,1,false
[producing],19,171.10476760931422,7,1,false,false,false,3,false,2,false,1,false
[con_ready3],20,172.6882095661619,7,1,false,false,true,3,false,2,false,1,true
[consuming3],21,173.55149378834946,7,0,false,false,false,3,false,2,false,2,false
[producing],22,173.86451388880405,8,1,false,false,false,3,false,2,false,2,false
[con_ready2],23,187.32758950409033,8,1,false,true,false,3,false,2,true,2,false
[consuming2],24,187.86030668355795,8,0,false,false,false,3,false,3,false,2,false
[producing],25,192.27207836614696,9,1,false,false,false,3,false,3,false,2,false
[con_ready1],26,212.09981153657208,9,1,true,false,false,3,true,3,false,2,false
[consuming1],27,212.89106124364326,9,0,false,false,false,4,false,3,false,2,false
[producing],28,265.43947690452484,10,1,false,false,false,4,false,3,false,2,false
[con_ready2],29,268.56506596490266,10,1,false,true,false,4,false,3,true,2,false
[consuming2],30,270.06825966984843,10,0,false,false,false,4,false,4,false,2,false
[producing],31,296.33126806404425,11,1,false,false,false,4,false,4,false,2,false
[con_ready3],32,297.1465067120464,11,1,false,false,true,4,false,4,false,2,true
[consuming3],33,299.3560623058308,11,0,false,false,false,4,false,4,false,3,false
[producing],34,303.0627057238121,12,1,false,false,false,4,false,4,false,3,false
[con_ready1],35,306.67868249105624,12,1,true,false,false,4,true,4,false,3,false
[consuming1],36,307.9727222720125,12,0,false,false,false,5,false,4,false,3,false
[producing],37,348.9013513902926,13,1,false,false,false,5,false,4,false,3,false
[con_ready2],38,365.30480591767275,13,1,false,true,false,5,false,4,true,3,false
[consuming2],39,365.6131086294663,13,0,false,false,false,5,false,5,false,3,false
[producing],40,388.35785389852373,14,1,false,false,false,5,false,5,false,3,false
[con_ready2],41,413.9407930356955,14,1,false,true,false,5,false,5,true,3,false
[consuming2],42,414.17943190448915,14,0,false,false,false,5,false,6,false,3,false
[producing],43,416.57385810090034,15,1,false,false,false,5,false,6,false,3,false
[con_ready2],44,422.8317695122108,15,1,false,true,false,5,false,6,true,3,false
[consuming2],45,423.92809443707716,15,0,false,false,false,5,false,7,false,3,false
[producing],46,434.0566665503133,16,1,false,false,false,5,false,7,false,3,false
[producing],47,435.84870677270004,17,2,false,false,false,5,false,7,false,3,false
[con_ready2],48,449.21032274137315,17,2,false,true,false,5,false,7,true,3,false
[consuming2],49,449.93933557859197,17,1,false,false,false,5,false,8,false,3,false
[con_ready3],50,449.98729373625525,17,1,false,false,true,5,false,8,false,3,true
[consuming3],51,452.22558083633555,17,0,false,false,false,5,false,8,false,4,false
[producing],52,459.17852918410654,18,1,false,false,false,5,false,8,false,4,false
[con_ready3],53,462.46271866655087,18,1,false,false,true,5,false,8,false,4,true
[consuming3],54,464.432612589845,18,0,false,false,false,5,false,8,false,5,false
[producing],55,475.44244975378973,19,1,false,false,false,5,false,8,false,5,false
[producing],56,483.7850602904652,20,2,false,false,false,5,false,8,false,5,false
[con_ready2],57,501.2524861841297,20,2,false,true,false,5,false,8,true,5,false
[consuming2],58,503.8728866497818,20,1,false,false,false,5,false,9,false,5,false
[con_ready3],59,506.51143974854233,20,1,false,false,true,5,false,9,false,5,true
[consuming3],60,510.04960278291577,20,0,false,false,false,5,false,9,false,6,false
[producing],61,517.6125669905529,21,1,false,false,false,5,false,9,false,6,false
[producing],62,520.6446979181717,22,2,false,false,false,5,false,9,false,6,false
[con_ready2],63,524.2021703267241,22,2,false,true,false,5,false,9,true,6,false
[consuming2],64,525.5132289665293,22,1,false,false,false,5,false,10,false,6,false
[con_ready1],65,545.0869864430451,22,1,true,false,false,5,true,10,false,6,false
[consuming1],66,546.2553162204973,22,0,false,false,false,6,false,10,false,6,false
[producing],67,546.7491931960204,23,1,false,false,false,6,false,10,false,6,false
[con_ready2],68,547.0601028746913,23,1,false,true,false,6,false,10,true,6,false
[consuming2],69,548.2150379956854,23,0,false,false,false,6,false,11,false,6,false
[producing],70,551.1509912214292,24,1,false,false,false,6,false,11,false,6,false
[con_ready3],71,556.0942959766902,24,1,false,false,true,6,false,11,false,6,true
[consuming3],72,556.3536033742225,24,0,false,false,false,6,false,11,false,7,false
[producing],73,576.9704350857808,25,1,false,false,false,6,false,11,false,7,false
[con_ready2],74,582.0597586958405,25,1,false,true,false,6,false,11,true,7,false
[consuming2],75,583.0696255908387,25,0,false,false,false,6,false,12,false,7,false
[producing],76,622.1915843404852,26,1,false,false,false,6,false,12,false,7,false
[producing],77,626.3671956757852,27,2,false,false,false,6,false,12,false,7,false
[con_ready2],78,638.2778846699482,27,2,false,true,false,6,false,12,true,7,false
[consuming2],79,639.6565466786129,27,1,false,false,false,6,false,13,false,7,false
[con_ready1],80,663.6931596675062,27,1,true,false,false,6,true,13,false,7,false
[consuming1],81,664.2448512798256,27,0,false,false,false,7,false,13,false,7,false
[producing],82,676.3603083074876,28,1,false,false,false,7,false,13,false,7,false
[con_ready1],83,688.7626050829708,28,1,true,false,false,7,true,13,false,7,false
[consuming1],84,689.5330918721419,28,0,false,false,false,8,false,13,false,7,false
[producing],85,717.175150620612,29,1,false,false,false,8,false,13,false,7,false
[con_ready3],86,726.5509489323676,29,1,false,false,true,8,false,13,false,7,true
[consuming3],87,727.1316309321176,29,0,false,false,false,8,false,13,false,8,false
[producing],88,737.3532244597587,30,1,false,false,false,8,false,13,false,8,false
[con_ready1],89,749.7921159291691,30,1,true,false,false,8,true,13,false,8,false
[consuming1],90,750.3002163453783,30,0,false,false,false,9,false,13,false,8,false
