action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3,f,b2,serving11,serving12,serving13,c11,getting11,c12,getting12,c13,getting13
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing],1,6.618746052479515,1,0,0,1,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing],2,13.23623833712244,2,0,0,2,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready1],3,22.41692764320512,2,0,0,3,false,false,false,0,true,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing2],4,33.240759853676416,2,1,0,4,false,false,false,0,true,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready3],5,33.733896684084826,2,1,0,4,false,false,true,0,true,0,false,0,true,0,0,false,false,false,0,false,0,false,0,false
[consuming3],6,34.541303581381726,2,1,0,3,false,false,false,0,true,0,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready2],7,37.50685465703012,2,1,0,3,false,true,false,0,true,0,true,1,false,0,0,false,false,false,0,false,0,false,0,false
[consuming2],8,37.784324003886184,2,1,0,2,false,false,false,0,true,1,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[producing3],9,37.85611895846551,2,1,1,2,true,false,false,0,true,1,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[forwarding],10,38.44359481560444,2,1,1,2,true,false,false,0,true,1,false,1,false,1,1,false,false,false,0,false,0,false,0,false
[consuming1],11,38.64871177234238,2,1,1,1,false,false,false,1,false,1,false,1,false,1,1,false,false,false,0,false,0,false,0,false
[con_ready12],12,48.2472973934077,2,1,1,1,false,false,false,1,false,1,false,1,false,1,1,false,true,false,0,false,0,true,0,false
[consuming12],13,48.30298078241623,2,1,1,1,false,false,false,1,false,1,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing2],14,51.75588065137512,2,2,1,2,false,false,false,1,false,1,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready3],15,51.871923050966494,2,2,1,2,false,false,true,1,false,1,false,1,true,1,0,false,false,false,0,false,1,false,0,false
[consuming3],16,51.994132632947064,2,2,1,1,false,false,false,1,false,1,false,2,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready3],17,52.133931604828064,2,2,1,1,false,false,true,1,false,1,false,2,true,1,0,false,false,false,0,false,1,false,0,false
[consuming3],18,52.34558104619034,2,2,1,0,false,false,false,1,false,1,false,3,false,1,0,false,false,false,0,false,1,false,0,false
[producing],19,67.9229360719188,3,2,1,1,false,false,false,1,false,1,false,3,false,1,0,false,false,false,0,false,1,false,0,false
[producing2],20,77.03287994517794,3,3,1,2,false,false,false,1,false,1,false,3,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready1],21,85.26884428449851,3,3,1,3,false,false,false,1,true,1,false,3,false,1,0,false,false,false,0,false,1,false,0,false
[producing3],22,95.33356097414661,3,3,2,4,false,false,false,1,true,1,false,3,false,1,0,false,false,false,0,false,1,false,0,false
[producing],23,95.39622601422981,4,3,2,5,false,false,false,1,true,1,false,3,false,1,0,false,false,false,0,false,1,false,0,false
[producing],24,98.15197214797892,5,3,2,6,false,false,false,1,true,1,false,3,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready2],25,109.98069613945171,5,3,2,6,false,true,false,1,true,1,true,3,false,1,0,false,false,false,0,false,1,false,0,false
[consuming2],26,110.80596379816767,5,3,2,5,false,false,false,1,true,2,false,3,false,1,0,false,false,false,0,false,1,false,0,false
[forwarding],27,119.29615285989722,5,3,2,5,false,false,false,1,true,2,false,3,false,2,1,false,false,false,0,false,1,false,0,false
[con_ready3],28,120.29587136655715,5,3,2,5,false,false,true,1,true,2,false,3,true,2,1,false,false,false,0,false,1,false,0,false
[consuming3],29,120.73083990757792,5,3,2,4,false,false,false,1,true,2,false,4,false,2,1,false,false,false,0,false,1,false,0,false
[producing3],30,120.7790079447803,5,3,3,4,true,false,false,1,true,2,false,4,false,2,1,false,false,false,0,false,1,false,0,false
[consuming1],31,121.55667201512914,5,3,3,3,false,false,false,2,false,2,false,4,false,2,1,false,false,false,0,false,1,false,0,false
[producing3],32,121.60079860389456,5,3,4,4,false,false,false,2,false,2,false,4,false,2,1,false,false,false,0,false,1,false,0,false
[forwarding],33,121.73748190050081,5,3,4,4,false,false,false,2,false,2,false,4,false,3,2,false,false,false,0,false,1,false,0,false
[con_ready2],34,122.03300415674269,5,3,4,4,false,true,false,2,false,2,true,4,false,3,2,false,false,false,0,false,1,false,0,false
