action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3,f,b2,serving11,serving12,serving13,c11,getting11,c12,getting12,c13,getting13
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing],1,37.3251041454492,1,0,0,1,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing],2,41.03139070421859,2,0,0,2,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready2],3,43.94956333442502,2,0,0,2,false,true,false,0,false,0,true,0,false,0,0,false,false,false,0,false,0,false,0,false
[consuming2],4,45.26943673761315,2,0,0,1,false,false,false,0,false,1,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready3],5,49.53841687057885,2,0,0,1,false,false,true,0,false,1,false,0,true,0,0,false,false,false,0,false,0,false,0,false
[consuming3],6,49.75333425220784,2,0,0,0,false,false,false,0,false,1,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[forwarding],7,55.29329503402923,2,0,0,0,false,false,false,0,false,1,false,1,false,1,1,false,false,false,0,false,0,false,0,false
[con_ready11],8,57.80191283450928,2,0,0,0,false,false,false,0,false,1,false,1,false,1,2,false,false,false,0,true,0,false,0,false
[con_ready13],9,69.76569723985025,2,0,0,0,false,false,false,0,false,1,false,1,false,1,2,false,false,true,0,true,0,false,0,true
[consuming13],10,71.0565383022529,2,0,0,0,false,false,false,0,false,1,false,1,false,1,1,false,false,false,0,true,0,false,1,false
[con_ready13],11,79.27771506655102,2,0,0,0,false,false,false,0,false,1,false,1,false,1,1,false,false,true,0,true,0,false,1,true
[consuming13],12,79.91958657687435,2,0,0,0,false,false,false,0,false,1,false,1,false,1,0,false,false,false,0,true,0,false,2,false
[producing],13,118.0499431926088,3,0,0,1,false,false,false,0,false,1,false,1,false,1,0,false,false,false,0,true,0,false,2,false
[producing3],14,120.24806007479368,3,0,1,2,false,false,false,0,false,1,false,1,false,1,0,false,false,false,0,true,0,false,2,false
[producing2],15,120.84566199454802,3,1,1,3,false,false,false,0,false,1,false,1,false,1,0,false,false,false,0,true,0,false,2,false
[producing],16,124.00007949544171,4,1,1,4,false,false,false,0,false,1,false,1,false,1,0,false,false,false,0,true,0,false,2,false
[producing3],17,130.4201888064531,4,1,2,5,false,false,false,0,false,1,false,1,false,1,0,false,false,false,0,true,0,false,2,false
[con_ready1],18,139.59957121169322,4,1,2,5,true,false,false,0,true,1,false,1,false,1,0,false,false,false,0,true,0,false,2,false
[consuming1],19,141.0002424491462,4,1,2,4,false,false,false,1,false,1,false,1,false,1,0,false,false,false,0,true,0,false,2,false
[producing2],20,143.09622856058172,4,2,2,5,false,false,false,1,false,1,false,1,false,1,0,false,false,false,0,true,0,false,2,false
[con_ready3],21,147.43818836229585,4,2,2,5,false,false,true,1,false,1,false,1,true,1,0,false,false,false,0,true,0,false,2,false
[consuming3],22,148.84462724806707,4,2,2,4,false,false,false,1,false,1,false,2,false,1,0,false,false,false,0,true,0,false,2,false
[producing2],23,154.37958995968694,4,3,2,5,false,false,false,1,false,1,false,2,false,1,0,false,false,false,0,true,0,false,2,false
[con_ready1],24,161.66872708597197,4,3,2,5,true,false,false,1,true,1,false,2,false,1,0,false,false,false,0,true,0,false,2,false
[consuming1],25,162.10969904470704,4,3,2,4,false,false,false,2,false,1,false,2,false,1,0,false,false,false,0,true,0,false,2,false
[producing2],26,162.191233891894,4,4,2,5,false,false,false,2,false,1,false,2,false,1,0,false,false,false,0,true,0,false,2,false
[con_ready3],27,163.7843331749404,4,4,2,5,false,false,true,2,false,1,false,2,true,1,0,false,false,false,0,true,0,false,2,false
[consuming3],28,164.28437924234868,4,4,2,4,false,false,false,2,false,1,false,3,false,1,0,false,false,false,0,true,0,false,2,false
[producing3],29,165.89562426719652,4,4,3,5,false,false,false,2,false,1,false,3,false,1,0,false,false,false,0,true,0,false,2,false
[con_ready1],30,174.98960142892597,4,4,3,5,true,false,false,2,true,1,false,3,false,1,0,false,false,false,0,true,0,false,2,false
[consuming1],31,175.75358653680243,4,4,3,4,false,false,false,3,false,1,false,3,false,1,0,false,false,false,0,true,0,false,2,false
[producing2],32,176.4455634655445,4,5,3,5,false,false,false,3,false,1,false,3,false,1,0,false,false,false,0,true,0,false,2,false
[forwarding],33,177.56749707697378,4,5,3,5,false,false,false,3,false,1,false,3,false,2,1,false,false,false,0,true,0,false,2,false
[forwarding],34,179.29215648747754,4,5,3,5,false,false,false,3,false,1,false,3,false,3,1,true,false,false,0,true,0,false,2,false
[consuming11],35,179.50953479805779,4,5,3,5,false,false,false,3,false,1,false,3,false,3,0,false,false,false,1,false,0,false,2,false
[con_ready3],36,181.99571112646376,4,5,3,5,false,false,true,3,false,1,false,3,true,3,0,false,false,false,1,false,0,false,2,false
[consuming3],37,182.8313671498096,4,5,3,4,false,false,false,3,false,1,false,4,false,3,0,false,false,false,1,false,0,false,2,false
[con_ready2],38,189.34954796056553,4,5,3,4,false,true,false,3,false,1,true,4,false,3,0,false,false,false,1,false,0,false,2,false
[consuming2],39,189.585367534329,4,5,3,3,false,false,false,3,false,2,false,4,false,3,0,false,false,false,1,false,0,false,2,false
[con_ready2],40,201.47412035675129,4,5,3,3,false,true,false,3,false,2,true,4,false,3,0,false,false,false,1,false,0,false,2,false
[consuming2],41,201.52016825540667,4,5,3,2,false,false,false,3,false,3,false,4,false,3,0,false,false,false,1,false,0,false,2,false
[producing3],42,204.1441359993119,4,5,4,3,false,false,false,3,false,3,false,4,false,3,0,false,false,false,1,false,0,false,2,false
