action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,f2,c3,getting3,f3,b1,serving11,serving12,serving13,b2,serving21,serving22,serving23,c11,getting11,c12,getting12,c13,getting13,c21,getting21,c22,getting22,c23,getting23
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,0,false,0,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[producing],1,12.221634974986387,1,0,0,1,false,false,false,0,false,0,false,0,0,false,0,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[producing3],2,19.736677761849478,1,0,1,2,false,false,false,0,false,0,false,0,0,false,0,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[producing2],3,33.081321434229615,1,1,1,3,false,false,false,0,false,0,false,0,0,false,0,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[con_ready3],4,38.33847598708598,1,1,1,3,false,false,true,0,false,0,false,0,0,true,0,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[consuming3],5,38.74183998723775,1,1,1,2,false,false,false,0,false,0,false,0,1,false,0,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[producing3],6,40.899171078369356,1,1,2,3,false,false,false,0,false,0,false,0,1,false,0,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[con_ready2],7,41.87502293592111,1,1,2,3,false,true,false,0,false,0,true,0,1,false,0,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[consuming2],8,43.00974565951884,1,1,2,2,false,false,false,0,false,1,false,0,1,false,0,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[forwarding3],9,43.64118402125989,1,1,2,2,false,false,false,0,false,1,false,0,1,false,1,0,false,false,false,1,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[producing3],10,43.86521500197135,1,1,3,3,false,false,false,0,false,1,false,0,1,false,1,0,false,false,false,1,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[producing3],11,51.5877712724341,1,1,4,4,false,false,false,0,false,1,false,0,1,false,1,0,false,false,false,1,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[con_ready1],12,52.09838087507357,1,1,4,4,true,false,false,0,true,1,false,0,1,false,1,0,false,false,false,1,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[consuming1],13,52.41402157090698,1,1,4,3,false,false,false,1,false,1,false,0,1,false,1,0,false,false,false,1,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[producing2],14,61.02036669073515,1,2,4,4,false,false,false,1,false,1,false,0,1,false,1,0,false,false,false,1,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[producing2],15,62.64691498034573,1,3,4,5,false,false,false,1,false,1,false,0,1,false,1,0,false,false,false,1,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[con_ready1],16,67.59211016913473,1,3,4,5,true,false,false,1,true,1,false,0,1,false,1,0,false,false,false,1,false,false,false,0,false,0,false,0,false,0,false,0,false,0,false
[con_ready22],17,67.75517368208641,1,3,4,5,true,false,false,1,true,1,false,0,1,false,1,0,false,false,false,1,false,true,false,0,false,0,false,0,false,0,false,0,true,0,false
[consuming1],18,68.44806797563417,1,3,4,4,false,false,false,2,false,1,false,0,1,false,1,0,false,false,false,1,false,true,false,0,false,0,false,0,false,0,false,0,true,0,false
[consuming22],19,68.89888922621317,1,3,4,4,false,false,false,2,false,1,false,0,1,false,1,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,1,false,0,false
[producing],20,75.21961904969773,2,3,4,5,false,false,false,2,false,1,false,0,1,false,1,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,1,false,0,false
[con_ready3],21,76.26747125094303,2,3,4,5,false,false,true,2,false,1,false,0,1,true,1,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,1,false,0,false
[consuming3],22,76.51359673937665,2,3,4,4,false,false,false,2,false,1,false,0,2,false,1,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,1,false,0,false
[producing2],23,78.1967742540459,2,4,4,5,false,false,false,2,false,1,false,0,2,false,1,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,1,false,0,false
[con_ready3],24,84.39724377722293,2,4,4,5,false,false,true,2,false,1,false,0,2,true,1,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,1,false,0,false
[consuming3],25,85.24262875702415,2,4,4,4,false,false,false,2,false,1,false,0,3,false,1,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,1,false,0,false
[con_ready1],26,100.99351020151343,2,4,4,4,true,false,false,2,true,1,false,0,3,false,1,0,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,1,false,0,false
[forwarding2],27,104.0017889767164,2,4,4,4,true,false,false,2,true,1,false,1,3,false,1,1,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,1,false,0,false
[consuming1],28,105.30511718402717,2,4,4,3,false,false,false,3,false,1,false,1,3,false,1,1,false,false,false,0,false,false,false,0,false,0,false,0,false,0,false,1,false,0,false
[con_ready11],29,113.31946085945191,2,4,4,3,false,false,false,3,false,1,false,1,3,false,1,1,false,false,true,0,false,false,false,0,true,0,false,0,false,0,false,1,false,0,false
[forwarding3],30,114.03444166506515,2,4,4,3,false,false,false,3,false,1,false,1,3,false,2,1,false,false,true,1,false,false,false,0,true,0,false,0,false,0,false,1,false,0,false
[con_ready21],31,117.40150320734317,2,4,4,3,false,false,false,3,false,1,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[producing],32,119.49753073981807,3,4,4,4,false,false,false,3,false,1,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[producing2],33,123.64315615226218,3,5,4,5,false,false,false,3,false,1,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[con_ready2],34,127.74813964336147,3,5,4,5,false,true,false,3,false,1,true,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[consuming2],35,128.2664297696089,3,5,4,4,false,false,false,3,false,2,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[producing],36,138.94433516671697,4,5,4,5,false,false,false,3,false,2,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[con_ready2],37,140.64525074838227,4,5,4,5,false,true,false,3,false,2,true,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[consuming2],38,141.15380513070198,4,5,4,4,false,false,false,3,false,3,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[con_ready2],39,142.80424920518917,4,5,4,4,false,true,false,3,false,3,true,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[consuming2],40,144.8073990383207,4,5,4,3,false,false,false,3,false,4,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[producing3],41,148.0489340888273,4,5,5,4,false,false,false,3,false,4,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[con_ready2],42,166.06119506278893,4,5,5,4,false,true,false,3,false,4,true,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[consuming2],43,170.37934361965327,4,5,5,3,false,false,false,3,false,5,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[con_ready1],44,173.5387154595676,4,5,5,3,true,false,false,3,true,5,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[consuming1],45,173.69098783590823,4,5,5,2,false,false,false,4,false,5,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[con_ready1],46,175.6754779703136,4,5,5,2,true,false,false,4,true,5,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[consuming1],47,176.39720947544762,4,5,5,1,false,false,false,5,false,5,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[con_ready1],48,188.57033278213385,4,5,5,1,true,false,false,5,true,5,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[consuming1],49,189.41165833861717,4,5,5,0,false,false,false,6,false,5,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[producing],50,225.3447516476225,5,5,5,1,false,false,false,6,false,5,false,1,3,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[con_ready3],51,256.2767041866318,5,5,5,1,false,false,true,6,false,5,false,1,3,true,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
[consuming3],52,256.6141362851179,5,5,5,0,false,false,false,6,false,5,false,1,4,false,2,1,false,false,true,1,false,false,true,0,true,0,false,0,false,0,true,1,false,0,false
