action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,88.09563546630058,1,0,0,1,false,false,false,0,false,0,false,0,false
[producing2],2,88.95684354428123,1,1,0,2,false,false,false,0,false,0,false,0,false
[producing2],3,92.3059075243594,1,2,0,3,false,false,false,0,false,0,false,0,false
[con_ready2],4,95.58995199438617,1,2,0,3,false,true,false,0,false,0,true,0,false
[consuming2],5,95.88751064844823,1,2,0,2,false,false,false,0,false,1,false,0,false
[con_ready3],6,96.86789658979174,1,2,0,2,false,false,true,0,false,1,false,0,true
[consuming3],7,97.08400929365638,1,2,0,1,false,false,false,0,false,1,false,1,false
[con_ready3],8,97.25689030285245,1,2,0,1,false,false,true,0,false,1,false,1,true
[consuming3],9,97.64636675030795,1,2,0,0,false,false,false,0,false,1,false,2,false
[producing],10,154.86355547900123,2,2,0,1,false,false,false,0,false,1,false,2,false
[con_ready1],11,155.93605899968176,2,2,0,2,false,false,false,0,true,1,false,2,false
[con_ready3],12,159.98452187723592,2,2,0,2,false,false,true,0,true,1,false,2,true
[consuming3],13,160.3111431013075,2,2,0,1,false,false,false,0,true,1,false,3,false
[producing2],14,164.72892445640903,2,3,0,2,false,false,false,0,true,1,false,3,false
[con_ready2],15,168.2712656129037,2,3,0,2,false,true,false,0,true,1,true,3,false
[consuming2],16,168.70741976766283,2,3,0,1,false,false,false,0,true,2,false,3,false
[con_ready2],17,173.99623697268325,2,3,0,1,false,true,false,0,true,2,true,3,false
[consuming2],18,175.42547838899475,2,3,0,0,false,false,false,0,true,3,false,3,false
[producing],19,231.12818045199103,3,3,0,1,false,false,false,0,true,3,false,3,false
[producing],20,231.46084852728572,4,3,0,2,false,false,false,0,true,3,false,3,false
[con_ready2],21,236.10376995038578,4,3,0,2,false,true,false,0,true,3,true,3,false
[consuming2],22,239.7490252275921,4,3,0,1,false,false,false,0,true,4,false,3,false
[producing3],23,247.8070378482292,4,3,1,2,false,false,false,0,true,4,false,3,false
[producing],24,248.30652031948964,5,3,1,3,false,false,false,0,true,4,false,3,false
[producing3],25,250.96996847454227,5,3,2,4,false,false,false,0,true,4,false,3,false
[producing3],26,256.63189712535274,5,3,3,4,true,false,false,0,true,4,false,3,false
[consuming1],27,256.97512496580634,5,3,3,3,false,false,false,1,false,4,false,3,false
[producing2],28,257.3144887064831,5,4,3,4,false,false,false,1,false,4,false,3,false
[con_ready3],29,259.8483173661822,5,4,3,4,false,false,true,1,false,4,false,3,true
[consuming3],30,260.6440012964615,5,4,3,3,false,false,false,1,false,4,false,4,false
[producing2],31,265.6040031341921,5,5,3,4,false,false,false,1,false,4,false,4,false
[producing3],32,273.3934731193801,5,5,4,4,true,false,false,1,false,4,false,4,false
