action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,1.5133337022414797,1,0,0,1,false,false,false,0,false,0,false,0,false
[con_ready1],2,5.84804029836913,1,0,0,1,true,false,false,0,true,0,false,0,false
[consuming1],3,7.002670903295725,1,0,0,0,false,false,false,1,false,0,false,0,false
[producing],4,27.91814990912193,2,0,0,1,false,false,false,1,false,0,false,0,false
[producing],5,37.00893805062921,3,0,0,2,false,false,false,1,false,0,false,0,false
[producing3],6,38.41091817871843,3,0,1,3,false,false,false,1,false,0,false,0,false
[con_ready2],7,44.94969279526498,3,0,1,3,false,true,false,1,false,0,true,0,false
[consuming2],8,45.57274669692162,3,0,1,2,false,false,false,1,false,1,false,0,false
[con_ready3],9,47.12000125245269,3,0,1,2,false,false,true,1,false,1,false,0,true
[consuming3],10,47.461225105576084,3,0,1,1,false,false,false,1,false,1,false,1,false
[producing3],11,58.1555219672767,3,0,2,2,false,false,false,1,false,1,false,1,false
[con_ready3],12,59.009996309853506,3,0,2,2,false,false,true,1,false,1,false,1,true
[consuming3],13,61.22105802443976,3,0,2,1,false,false,false,1,false,1,false,2,false
[producing2],14,63.49445956058986,3,1,2,2,false,false,false,1,false,1,false,2,false
[con_ready1],15,65.81173094733835,3,1,2,2,true,false,false,1,true,1,false,2,false
[consuming1],16,66.00725685616362,3,1,2,1,false,false,false,2,false,1,false,2,false
[producing2],17,67.80115011729494,3,2,2,2,false,false,false,2,false,1,false,2,false
[producing2],18,72.73697061836789,3,3,2,3,false,false,false,2,false,1,false,2,false
[producing2],19,77.5966714951611,3,4,2,4,false,false,false,2,false,1,false,2,false
[con_ready3],20,77.65515030532659,3,4,2,4,false,false,true,2,false,1,false,2,true
[consuming3],21,77.93100323780018,3,4,2,3,false,false,false,2,false,1,false,3,false
[producing2],22,79.34845608315838,3,5,2,4,false,false,false,2,false,1,false,3,false
[producing2],23,85.32073897419896,3,6,2,5,false,false,false,2,false,1,false,3,false
[producing2],24,85.82539087622632,3,7,2,6,false,false,false,2,false,1,false,3,false
[con_ready3],25,93.56901935107098,3,7,2,6,false,false,true,2,false,1,false,3,true
[consuming3],26,95.20545712106968,3,7,2,5,false,false,false,2,false,1,false,4,false
[producing2],27,104.50190676950092,3,8,2,6,false,false,false,2,false,1,false,4,false
[con_ready2],28,105.29982108547878,3,8,2,6,false,true,false,2,false,1,true,4,false
[consuming2],29,105.44275883833882,3,8,2,5,false,false,false,2,false,2,false,4,false
[producing3],30,111.01446443855622,3,8,3,6,false,false,false,2,false,2,false,4,false
[producing],31,117.16648269518474,4,8,3,7,false,false,false,2,false,2,false,4,false
[producing3],32,119.02765474096569,4,8,4,8,false,false,false,2,false,2,false,4,false
[producing2],33,123.36909761104845,4,9,4,9,false,false,false,2,false,2,false,4,false
[producing2],34,128.7016427122676,4,10,4,10,false,false,false,2,false,2,false,4,false
[producing3],35,131.01855880523573,4,10,5,11,false,false,false,2,false,2,false,4,false
[producing2],36,137.61740865320624,4,11,5,12,false,false,false,2,false,2,false,4,false
[producing],37,139.5947438458413,5,11,5,13,false,false,false,2,false,2,false,4,false
[con_ready2],38,139.61926968517753,5,11,5,13,false,true,false,2,false,2,true,4,false
[consuming2],39,142.20949673377683,5,11,5,12,false,false,false,2,false,3,false,4,false
[con_ready2],40,142.91873500823428,5,11,5,12,false,true,false,2,false,3,true,4,false
[consuming2],41,143.9778855705818,5,11,5,11,false,false,false,2,false,4,false,4,false
[producing3],42,147.63284643905428,5,11,6,12,false,false,false,2,false,4,false,4,false
[producing2],43,148.06407207260688,5,12,6,13,false,false,false,2,false,4,false,4,false
[producing2],44,151.24379687158148,5,13,6,14,false,false,false,2,false,4,false,4,false
[con_ready3],45,152.52720767623757,5,13,6,14,false,false,true,2,false,4,false,4,true
[consuming3],46,152.8300667288159,5,13,6,13,false,false,false,2,false,4,false,5,false
[producing3],47,155.58726768250085,5,13,7,14,false,false,false,2,false,4,false,5,false
[producing3],48,156.2031525116796,5,13,8,15,false,false,false,2,false,4,false,5,false
[producing3],49,163.96361962360382,5,13,9,16,false,false,false,2,false,4,false,5,false
[con_ready3],50,165.15540443817514,5,13,9,16,false,false,true,2,false,4,false,5,true
[consuming3],51,165.93252356184976,5,13,9,15,false,false,false,2,false,4,false,6,false
[producing2],52,171.92826724721309,5,14,9,16,false,false,false,2,false,4,false,6,false
[con_ready2],53,172.43543488286025,5,14,9,16,false,true,false,2,false,4,true,6,false
[consuming2],54,172.52613593773975,5,14,9,15,false,false,false,2,false,5,false,6,false
[con_ready3],55,173.9329849754611,5,14,9,15,false,false,true,2,false,5,false,6,true
[consuming3],56,174.11249759988615,5,14,9,14,false,false,false,2,false,5,false,7,false
[producing2],57,176.36653780315018,5,15,9,15,false,false,false,2,false,5,false,7,false
[con_ready3],58,177.87155449444043,5,15,9,15,false,false,true,2,false,5,false,7,true
[consuming3],59,181.26945235181438,5,15,9,14,false,false,false,2,false,5,false,8,false
[producing2],60,184.52021249382324,5,16,9,15,false,false,false,2,false,5,false,8,false
[producing3],61,185.91604753947385,5,16,10,16,false,false,false,2,false,5,false,8,false
[producing3],62,187.37735888034243,5,16,11,17,false,false,false,2,false,5,false,8,false
[con_ready3],63,190.06054796692996,5,16,11,17,false,false,true,2,false,5,false,8,true
[consuming3],64,190.59740852983077,5,16,11,16,false,false,false,2,false,5,false,9,false
[producing3],65,192.1303053391003,5,16,12,17,false,false,false,2,false,5,false,9,false
[producing3],66,200.78746821899225,5,16,13,18,false,false,false,2,false,5,false,9,false
[con_ready1],67,204.1245685746294,5,16,13,18,true,false,false,2,true,5,false,9,false
[consuming1],68,204.21632292603422,5,16,13,17,false,false,false,3,false,5,false,9,false
[con_ready1],69,205.58541474228736,5,16,13,17,true,false,false,3,true,5,false,9,false
[consuming1],70,206.05649839242747,5,16,13,16,false,false,false,4,false,5,false,9,false
[producing3],71,216.56089135898563,5,16,14,17,false,false,false,4,false,5,false,9,false
[producing3],72,220.23752619484213,5,16,15,18,false,false,false,4,false,5,false,9,false
[con_ready2],73,221.2804441769028,5,16,15,18,false,true,false,4,false,5,true,9,false
[consuming2],74,222.22098067333064,5,16,15,17,false,false,false,4,false,6,false,9,false
[producing],75,222.80580825590513,6,16,15,18,false,false,false,4,false,6,false,9,false
[con_ready2],76,224.7398419186763,6,16,15,18,false,true,false,4,false,6,true,9,false
[consuming2],77,225.85512058416901,6,16,15,17,false,false,false,4,false,7,false,9,false
[producing3],78,226.85875190187585,6,16,16,18,false,false,false,4,false,7,false,9,false
[con_ready2],79,235.79263296356862,6,16,16,18,false,true,false,4,false,7,true,9,false
[consuming2],80,240.80264893277817,6,16,16,17,false,false,false,4,false,8,false,9,false
[con_ready1],81,242.17698326442488,6,16,16,17,true,false,false,4,true,8,false,9,false
[consuming1],82,243.08405008799903,6,16,16,16,false,false,false,5,false,8,false,9,false
[con_ready2],83,245.81995898823374,6,16,16,16,false,true,false,5,false,8,true,9,false
[consuming2],84,246.10736158096796,6,16,16,15,false,false,false,5,false,9,false,9,false
[con_ready1],85,247.01766938346537,6,16,16,15,true,false,false,5,true,9,false,9,false
[consuming1],86,247.30263472250303,6,16,16,14,false,false,false,6,false,9,false,9,false
[producing2],87,247.9769522479752,6,17,16,15,false,false,false,6,false,9,false,9,false
[producing],88,256.5820087117421,7,17,16,16,false,false,false,6,false,9,false,9,false
[con_ready3],89,262.34007043767394,7,17,16,16,false,false,true,6,false,9,false,9,true
[consuming3],90,265.3147693003839,7,17,16,15,false,false,false,6,false,9,false,10,false
[producing],91,266.76428033229485,8,17,16,16,false,false,false,6,false,9,false,10,false
[con_ready3],92,282.70995537594143,8,17,16,16,false,false,true,6,false,9,false,10,true
[consuming3],93,282.7518456661197,8,17,16,15,false,false,false,6,false,9,false,11,false
[con_ready2],94,283.01588270795895,8,17,16,15,false,true,false,6,false,9,true,11,false
[consuming2],95,283.377186178022,8,17,16,14,false,false,false,6,false,10,false,11,false
[producing2],96,283.47205131937295,8,18,16,15,false,false,false,6,false,10,false,11,false
[con_ready2],97,285.1280987568916,8,18,16,15,false,true,false,6,false,10,true,11,false
[consuming2],98,285.6574525896352,8,18,16,14,false,false,false,6,false,11,false,11,false
[producing3],99,291.3486453670136,8,18,17,15,false,false,false,6,false,11,false,11,false
[con_ready3],100,291.6667342158982,8,18,17,15,false,false,true,6,false,11,false,11,true
[consuming3],101,292.89728877634207,8,18,17,14,false,false,false,6,false,11,false,12,false
[con_ready1],102,298.73145518106384,8,18,17,14,true,false,false,6,true,11,false,12,false
[consuming1],103,299.2397619821008,8,18,17,13,false,false,false,7,false,11,false,12,false
[con_ready2],104,299.81380795895564,8,18,17,13,false,true,false,7,false,11,true,12,false
[consuming2],105,301.5345274468868,8,18,17,12,false,false,false,7,false,12,false,12,false
[producing3],106,304.2591375308978,8,18,18,13,false,false,false,7,false,12,false,12,false
[con_ready3],107,315.04287111671056,8,18,18,13,false,false,true,7,false,12,false,12,true
[consuming3],108,315.0592924756953,8,18,18,12,false,false,false,7,false,12,false,13,false
[producing3],109,317.8648626423974,8,18,19,13,false,false,false,7,false,12,false,13,false
[con_ready1],110,322.65463564180595,8,18,19,13,true,false,false,7,true,12,false,13,false
[consuming1],111,323.39805760823117,8,18,19,12,false,false,false,8,false,12,false,13,false
[producing3],112,323.78116921314233,8,18,20,13,false,false,false,8,false,12,false,13,false
[producing3],113,323.86090037195544,8,18,21,14,false,false,false,8,false,12,false,13,false
[producing],114,323.9344303029369,9,18,21,15,false,false,false,8,false,12,false,13,false
[con_ready1],115,327.9651567494371,9,18,21,15,true,false,false,8,true,12,false,13,false
[consuming1],116,328.71829912890763,9,18,21,14,false,false,false,9,false,12,false,13,false
[producing2],117,334.9997788511942,9,19,21,15,false,false,false,9,false,12,false,13,false
[producing2],118,341.46194081391803,9,20,21,16,false,false,false,9,false,12,false,13,false
[con_ready2],119,342.55038773149334,9,20,21,16,false,true,false,9,false,12,true,13,false
[consuming2],120,343.0370727914925,9,20,21,15,false,false,false,9,false,13,false,13,false
[producing3],121,345.1958533522804,9,20,22,16,false,false,false,9,false,13,false,13,false
[con_ready2],122,346.5895512060797,9,20,22,16,false,true,false,9,false,13,true,13,false
[consuming2],123,346.81409666756576,9,20,22,15,false,false,false,9,false,14,false,13,false
[producing2],124,351.35769575845677,9,21,22,16,false,false,false,9,false,14,false,13,false
[con_ready3],125,355.81207580089375,9,21,22,16,false,false,true,9,false,14,false,13,true
[consuming3],126,357.6195186743282,9,21,22,15,false,false,false,9,false,14,false,14,false
[producing2],127,361.65140293764733,9,22,22,16,false,false,false,9,false,14,false,14,false
[con_ready3],128,367.5159428450468,9,22,22,16,false,false,true,9,false,14,false,14,true
[consuming3],129,367.7640244657604,9,22,22,15,false,false,false,9,false,14,false,15,false
[con_ready3],130,369.9258035061881,9,22,22,15,false,false,true,9,false,14,false,15,true
[consuming3],131,370.1552589737572,9,22,22,14,false,false,false,9,false,14,false,16,false
[producing3],132,373.874055109478,9,22,23,15,false,false,false,9,false,14,false,16,false
[producing],133,373.9418886037084,10,22,23,16,false,false,false,9,false,14,false,16,false
[con_ready3],134,377.77615922622823,10,22,23,16,false,false,true,9,false,14,false,16,true
[consuming3],135,378.20264565495324,10,22,23,15,false,false,false,9,false,14,false,17,false
[producing],136,381.5627220483041,11,22,23,16,false,false,false,9,false,14,false,17,false
[con_ready3],137,398.8955547370265,11,22,23,16,false,false,true,9,false,14,false,17,true
[consuming3],138,399.8186181678265,11,22,23,15,false,false,false,9,false,14,false,18,false
[producing2],139,405.4823101040774,11,23,23,16,false,false,false,9,false,14,false,18,false
[con_ready1],140,406.9599504797194,11,23,23,16,true,false,false,9,true,14,false,18,false
[consuming1],141,407.65439221806963,11,23,23,15,false,false,false,10,false,14,false,18,false
[producing3],142,414.2769155738606,11,23,24,16,false,false,false,10,false,14,false,18,false
