,case_no,case_count,node_count,p_node_fail,retires,path_len,path_count,sla
0,1,50,15,0.1,1,10000,5,8.686842879867374e-72
1,2,50,15,0.1,1,10000,5,0.04546085572368169
2,3,50,15,0.1,1,10000,5,1.2037535304916195e-08
3,4,50,15,0.1,1,10000,5,2.5114347267673206e-07
4,5,50,15,0.1,1,10000,5,1.6524283864836914e-07
5,6,50,15,0.1,1,10000,5,2.290655733856979e-06
6,7,50,15,0.1,1,10000,5,0.025653505223755944
7,8,50,15,0.1,1,10000,5,3.322209689219683e-06
8,9,50,15,0.1,1,10000,5,3.914262157769382e-06
9,10,50,15,0.1,1,10000,5,0.030333678863683072
10,11,50,15,0.1,1,10000,5,9.407203759615656e-08
11,12,50,15,0.1,1,10000,5,2.3572090440708064e-07
12,13,50,15,0.1,1,10000,5,4.5337391420095677e-07
13,14,50,15,0.1,1,10000,5,4.550872746512741e-07
14,15,50,15,0.1,1,10000,5,0.041323952750293894
15,16,50,15,0.1,1,10000,5,2.545110027853131e-07
16,17,50,15,0.1,1,10000,5,1.3449735728617644e-17
17,18,50,15,0.1,1,10000,5,4.6177988928319537e-07
18,19,50,15,0.1,1,10000,5,0.03047642839998925
19,20,50,15,0.1,1,10000,5,4.7001501050260476e-07
20,21,50,15,0.1,1,10000,5,7.116959442912147e-136
21,22,50,15,0.1,1,10000,5,3.064802835885717e-06
22,23,50,15,0.1,1,10000,5,3.0103785518543226e-14
23,24,50,15,0.1,1,10000,5,3.767525511258263e-07
24,25,50,15,0.1,1,10000,5,0.02401851825523987
25,26,50,15,0.1,1,10000,5,8.989585384174154e-17
26,27,50,15,0.1,1,10000,5,2.266661242312054e-65
27,28,50,15,0.1,1,10000,5,4.584802842468185e-40
28,29,50,15,0.1,1,10000,5,1.2393718141110018e-17
29,30,50,15,0.1,1,10000,5,2.9093977990876745e-06
30,31,50,15,0.1,1,10000,5,0.02861512634229691
31,32,50,15,0.1,1,10000,5,3.2996834165733245e-07
32,33,50,15,0.1,1,10000,5,2.4367234119820494e-134
33,34,50,15,0.1,1,10000,5,0.03128300382639544
34,35,50,15,0.1,1,10000,5,0.03283375002545195
35,36,50,15,0.1,1,10000,5,0.022162429177334644
36,37,50,15,0.1,1,10000,5,1.0863471454598744e-06
37,38,50,15,0.1,1,10000,5,3.5603505711530912e-06
38,39,50,15,0.1,1,10000,5,0.023275634394234045
39,40,50,15,0.1,1,10000,5,3.0697561927353555e-14
40,41,50,15,0.1,1,10000,5,3.691148455015469e-07
41,42,50,15,0.1,1,10000,5,0.04519153964739085
42,43,50,15,0.1,1,10000,5,0.03512782942225756
43,44,50,15,0.1,1,10000,5,3.313136388469759e-14
44,45,50,15,0.1,1,10000,5,3.964453918019657e-06
45,46,50,15,0.1,1,10000,5,4.127580873811533e-08
46,47,50,15,0.1,1,10000,5,0.046588342245870135
47,48,50,15,0.1,1,10000,5,4.2881638897688196e-07
48,49,50,15,0.1,1,10000,5,2.65803239839566e-06
49,50,50,15,0.1,1,10000,5,3.095376192809213e-63
