,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6
0,-,0,0,0,0,0,0,0,0
1,REST_X0,1,2,0,0,0,0,0,0
2,[X0_X5_GET_req],2,3,0,0,0,0,1,0
3,REST_X5,3,3,0,0,0,0,2,0
4,REST_X5,4,3,0,0,0,0,5,0
5,[X5_X3_GET_req],5,3,0,0,1,0,6,0
6,REST_X3,6,3,0,0,2,0,6,0
7,REST_X3,7,3,0,0,5,0,6,0
8,[X3_X1_GET_req],8,3,1,0,6,0,6,0
9,REST_X1,9,3,2,0,6,0,6,0
10,REST_X1,10,3,5,0,6,0,6,0
11,[X1_X2_GET_req],11,3,6,1,6,0,6,0
12,REST_X2,12,3,6,2,6,0,6,0
13,REST_X2,13,3,6,5,6,0,6,0
14,[X2_X4_GET_req],14,3,6,6,6,1,6,0
15,REST_X4,15,3,6,6,6,2,6,0
16,REST_X4,16,3,6,6,6,3,6,0
17,[X2_X4_GET_resp_2xx],17,3,6,3,6,0,6,0
18,[X1_X2_GET_resp_2xx],18,3,3,0,6,0,6,0
19,[X3_X1_GET_resp_2xx],19,3,0,0,3,0,6,0
20,[X5_X3_GET_resp_2xx],20,3,0,0,0,0,3,0
21,[X0_X5_GET_resp_2xx],21,0,0,0,0,0,0,0
22,REST_X0,22,2,0,0,0,0,0,0
23,[X0_X5_GET_req],23,3,0,0,0,0,1,0
24,REST_X5,24,3,0,0,0,0,2,0
25,REST_X5,25,3,0,0,0,0,5,0
26,[X5_X3_GET_req],26,3,0,0,1,0,6,0
27,REST_X3,27,3,0,0,2,0,6,0
28,REST_X3,28,3,0,0,5,0,6,0
29,[X3_X1_GET_req],29,3,1,0,6,0,6,0
30,REST_X1,30,3,2,0,6,0,6,0
31,REST_X1,31,3,5,0,6,0,6,0
32,[X1_X2_GET_req],32,3,6,1,6,0,6,0
33,REST_X2,33,3,6,2,6,0,6,0
34,REST_X2,34,3,6,5,6,0,6,0
35,[X2_X4_GET_req],35,3,6,6,6,1,6,0
36,REST_X4,36,3,6,6,6,2,6,0
37,REST_X4,37,3,6,6,6,3,6,0
38,[X2_X4_GET_resp_2xx],38,3,6,3,6,0,6,0
39,[X1_X2_GET_resp_2xx],39,3,3,0,6,0,6,0
40,[X3_X1_GET_resp_2xx],40,3,0,0,3,0,6,0
41,[X5_X3_GET_resp_2xx],41,3,0,0,0,0,3,0
42,[X0_X5_GET_resp_2xx],42,0,0,0,0,0,0,0
43,REST_X0,43,2,0,0,0,0,0,0
44,[X0_X5_GET_req],44,3,0,0,0,0,1,0
45,REST_X5,45,3,0,0,0,0,2,0
46,REST_X5,46,3,0,0,0,0,5,0
47,[X5_X3_GET_req],47,3,0,0,1,0,6,0
48,REST_X3,48,3,0,0,2,0,6,0
49,REST_X3,49,3,0,0,5,0,6,0
50,[X3_X1_GET_req],50,3,1,0,6,0,6,0
51,REST_X1,51,3,2,0,6,0,6,0
52,REST_X1,52,3,5,0,6,0,6,0
53,[X1_X2_GET_req],53,3,6,1,6,0,6,0
54,REST_X2,54,3,6,2,6,0,6,0
55,REST_X2,55,3,6,5,6,0,6,0
56,[X2_X4_GET_req],56,3,6,6,6,1,6,0
57,REST_X4,57,3,6,6,6,2,6,0
58,REST_X4,58,3,6,6,6,3,6,0
59,[X2_X4_GET_resp_2xx],59,3,6,3,6,0,6,0
60,[X1_X2_GET_resp_2xx],60,3,3,0,6,0,6,0
61,[X3_X1_GET_resp_2xx],61,3,0,0,3,0,6,0
62,[X5_X3_GET_resp_2xx],62,3,0,0,0,0,3,0
63,[X0_X5_GET_resp_2xx],63,0,0,0,0,0,0,0
64,REST_X0,64,2,0,0,0,0,0,0
65,[X0_X5_GET_req],65,3,0,0,0,0,1,0
66,REST_X5,66,3,0,0,0,0,2,0
67,REST_X5,67,3,0,0,0,0,5,0
68,[X5_X3_GET_req],68,3,0,0,1,0,6,0
69,REST_X3,69,3,0,0,2,0,6,0
70,REST_X3,70,3,0,0,5,0,6,0
71,[X3_X1_GET_req],71,3,1,0,6,0,6,0
72,REST_X1,72,3,2,0,6,0,6,0
73,REST_X1,73,3,5,0,6,0,6,0
74,[X1_X2_GET_req],74,3,6,1,6,0,6,0
75,REST_X2,75,3,6,2,6,0,6,0
76,REST_X2,76,3,6,5,6,0,6,0
77,[X2_X4_GET_req],77,3,6,6,6,1,6,0
78,REST_X4,78,3,6,6,6,2,6,0
79,REST_X4,79,3,6,6,6,3,6,0
80,[X2_X4_GET_resp_2xx],80,3,6,3,6,0,6,0
81,[X1_X2_GET_resp_2xx],81,3,3,0,6,0,6,0
82,[X3_X1_GET_resp_2xx],82,3,0,0,3,0,6,0
83,[X5_X3_GET_resp_2xx],83,3,0,0,0,0,3,0
84,[X0_X5_GET_resp_2xx],84,0,0,0,0,0,0,0
85,REST_X0,85,2,0,0,0,0,0,0
86,[X0_X5_GET_req],86,3,0,0,0,0,1,0
87,REST_X5,87,3,0,0,0,0,2,0
88,REST_X5,88,3,0,0,0,0,5,0
89,[X5_X3_GET_req],89,3,0,0,1,0,6,0
90,REST_X3,90,3,0,0,2,0,6,0
91,REST_X3,91,3,0,0,5,0,6,0
92,[X3_X1_GET_req],92,3,1,0,6,0,6,0
93,REST_X1,93,3,2,0,6,0,6,0
94,REST_X1,94,3,5,0,6,0,6,0
95,[X1_X2_GET_req],95,3,6,1,6,0,6,0
96,REST_X2,96,3,6,2,6,0,6,0
97,REST_X2,97,3,6,5,6,0,6,0
98,[X2_X4_GET_req],98,3,6,6,6,1,6,0
99,REST_X4,99,3,6,6,6,2,6,0
100,REST_X4,100,3,6,6,6,3,6,0
101,[X2_X4_GET_resp_2xx],101,3,6,3,6,0,6,0
102,[X1_X2_GET_resp_2xx],102,3,3,0,6,0,6,0
103,[X3_X1_GET_resp_2xx],103,3,0,0,3,0,6,0
104,[X5_X3_GET_resp_2xx],104,3,0,0,0,0,3,0
105,[X0_X5_GET_resp_2xx],105,0,0,0,0,0,0,0
106,REST_X0,106,10,0,0,0,0,0,0
107,[X0_X6_GET_req],107,11,0,0,0,0,0,1
108,REST_X6,108,11,0,0,0,0,0,2
109,REST_X6,109,11,0,0,0,0,0,3
110,[X0_X6_GET_resp_2xx],110,0,0,0,0,0,0,0
111,REST_X0,111,10,0,0,0,0,0,0
112,[X0_X6_GET_req],112,11,0,0,0,0,0,1
113,REST_X6,113,11,0,0,0,0,0,2
114,REST_X6,114,11,0,0,0,0,0,4
115,[X0_X6_GET_resp_5xx],115,12,0,0,0,0,0,0
116,[X0_X6_GET_req],116,13,0,0,0,0,0,1
117,REST_X6,117,13,0,0,0,0,0,2
118,REST_X6,118,13,0,0,0,0,0,3
119,[X0_X6_GET_resp_2xx],119,0,0,0,0,0,0,0
120,REST_X0,120,2,0,0,0,0,0,0
121,[X0_X5_GET_req],121,3,0,0,0,0,1,0
122,REST_X5,122,3,0,0,0,0,2,0
123,REST_X5,123,3,0,0,0,0,5,0
124,[X5_X3_GET_req],124,3,0,0,1,0,6,0
125,REST_X3,125,3,0,0,2,0,6,0
126,REST_X3,126,3,0,0,5,0,6,0
127,[X3_X1_GET_req],127,3,1,0,6,0,6,0
128,REST_X1,128,3,2,0,6,0,6,0
129,REST_X1,129,3,5,0,6,0,6,0
130,[X1_X2_GET_req],130,3,6,1,6,0,6,0
