,case_no,case_count,node_count,p_node_fail,retires,path_len,path_count,sla
0,1,20,7,0.1,2,5000,10,2.5030398048156363e-106
1,2,20,7,0.1,2,5000,10,0.05637933385734888
2,3,20,7,0.1,2,5000,10,3.567183279125924e-34
3,4,20,7,0.1,2,5000,10,3.567183279125924e-34
4,5,20,7,0.1,2,5000,10,6.715086761130106e-38
5,6,20,7,0.1,2,5000,10,0.02359716110186169
6,7,20,7,0.1,2,5000,10,0.018390964170017926
7,8,20,7,0.1,2,5000,10,8.055250939641925e-11
8,9,20,7,0.1,2,5000,10,3.268497687059057e-117
9,10,20,7,0.1,2,5000,10,0.02909373772293031
10,11,20,7,0.1,2,5000,10,2.5016257213757346e-36
11,12,20,7,0.1,2,5000,10,3.268497687059057e-117
12,13,20,7,0.1,2,5000,10,2.4804606035093406e-11
13,14,20,7,0.1,2,5000,10,0.02359716110186169
14,15,20,7,0.1,2,5000,10,0.01744638236542597
15,16,20,7,0.1,2,5000,10,2.6969155933001798e-11
16,17,20,7,0.1,2,5000,10,6.715086761130106e-38
17,18,20,7,0.1,2,5000,10,1.83734827053481e-10
18,19,20,7,0.1,2,5000,10,0.01744638236542597
19,20,20,7,0.1,2,5000,10,2.29634518931969e-11
