,action,step,s_X0,s_X1,s_X2,s_X3,s_X4
0,-,0,0,0,0,0,0
1,REST_X0,1,10,0,0,0,0
2,[X0_X2_GET_req],2,11,0,1,0,0
3,REST_X2,3,11,0,2,0,0
4,REST_X2,4,11,0,3,0,0
5,[X0_X2_GET_resp_2xx],5,0,0,0,0,0
6,REST_X0,6,2,0,0,0,0
7,[X0_X1_GET_req],7,3,1,0,0,0
8,REST_X1,8,3,2,0,0,0
9,REST_X1,9,3,3,0,0,0
10,[X0_X1_GET_resp_2xx],10,0,0,0,0,0
11,REST_X0,11,2,0,0,0,0
12,[X0_X1_GET_req],12,3,1,0,0,0
13,REST_X1,13,3,2,0,0,0
14,REST_X1,14,3,3,0,0,0
15,[X0_X1_GET_resp_2xx],15,0,0,0,0,0
16,REST_X0,16,2,0,0,0,0
17,[X0_X1_GET_req],17,3,1,0,0,0
18,REST_X1,18,3,2,0,0,0
19,REST_X1,19,3,3,0,0,0
20,[X0_X1_GET_resp_2xx],20,0,0,0,0,0
21,REST_X0,21,2,0,0,0,0
22,[X0_X1_GET_req],22,3,1,0,0,0
23,REST_X1,23,3,2,0,0,0
24,REST_X1,24,3,3,0,0,0
25,[X0_X1_GET_resp_2xx],25,0,0,0,0,0
26,REST_X0,26,26,0,0,0,0
27,[X0_X4_GET_req],27,27,0,0,0,1
28,REST_X4,28,27,0,0,0,2
29,REST_X4,29,27,0,0,0,3
30,[X0_X4_GET_resp_2xx],30,0,0,0,0,0
31,REST_X0,31,26,0,0,0,0
32,[X0_X4_GET_req],32,27,0,0,0,1
33,REST_X4,33,27,0,0,0,2
34,REST_X4,34,27,0,0,0,3
35,[X0_X4_GET_resp_2xx],35,0,0,0,0,0
36,REST_X0,36,10,0,0,0,0
37,[X0_X2_GET_req],37,11,0,1,0,0
38,REST_X2,38,11,0,2,0,0
39,REST_X2,39,11,0,3,0,0
40,[X0_X2_GET_resp_2xx],40,0,0,0,0,0
41,REST_X0,41,26,0,0,0,0
42,[X0_X4_GET_req],42,27,0,0,0,1
43,REST_X4,43,27,0,0,0,2
44,REST_X4,44,27,0,0,0,3
45,[X0_X4_GET_resp_2xx],45,0,0,0,0,0
46,REST_X0,46,10,0,0,0,0
47,[X0_X2_GET_req],47,11,0,1,0,0
48,REST_X2,48,11,0,2,0,0
49,REST_X2,49,11,0,3,0,0
50,[X0_X2_GET_resp_2xx],50,0,0,0,0,0
51,REST_X0,51,10,0,0,0,0
52,[X0_X2_GET_req],52,11,0,1,0,0
53,REST_X2,53,11,0,2,0,0
54,REST_X2,54,11,0,4,0,0
55,[X0_X2_GET_resp_5xx],55,12,0,0,0,0
56,[X0_X2_GET_req],56,13,0,1,0,0
57,REST_X2,57,13,0,2,0,0
58,REST_X2,58,13,0,3,0,0
59,[X0_X2_GET_resp_2xx],59,0,0,0,0,0
60,REST_X0,60,18,0,0,0,0
61,[X0_X3_GET_req],61,19,0,0,1,0
62,REST_X3,62,19,0,0,2,0
63,REST_X3,63,19,0,0,3,0
64,[X0_X3_GET_resp_2xx],64,0,0,0,0,0
65,REST_X0,65,10,0,0,0,0
66,[X0_X2_GET_req],66,11,0,1,0,0
67,REST_X2,67,11,0,2,0,0
68,REST_X2,68,11,0,3,0,0
69,[X0_X2_GET_resp_2xx],69,0,0,0,0,0
70,REST_X0,70,18,0,0,0,0
71,[X0_X3_GET_req],71,19,0,0,1,0
72,REST_X3,72,19,0,0,2,0
73,REST_X3,73,19,0,0,3,0
74,[X0_X3_GET_resp_2xx],74,0,0,0,0,0
75,REST_X0,75,18,0,0,0,0
76,[X0_X3_GET_req],76,19,0,0,1,0
77,REST_X3,77,19,0,0,2,0
78,REST_X3,78,19,0,0,4,0
79,[X0_X3_GET_resp_5xx],79,20,0,0,0,0
80,[X0_X3_GET_req],80,21,0,0,1,0
81,REST_X3,81,21,0,0,2,0
82,REST_X3,82,21,0,0,3,0
83,[X0_X3_GET_resp_2xx],83,0,0,0,0,0
84,REST_X0,84,2,0,0,0,0
85,[X0_X1_GET_req],85,3,1,0,0,0
86,REST_X1,86,3,2,0,0,0
87,REST_X1,87,3,4,0,0,0
88,[X0_X1_GET_resp_5xx],88,4,0,0,0,0
89,[X0_X1_GET_req],89,5,1,0,0,0
90,REST_X1,90,5,2,0,0,0
91,REST_X1,91,5,3,0,0,0
92,[X0_X1_GET_resp_2xx],92,0,0,0,0,0
93,REST_X0,93,18,0,0,0,0
94,[X0_X3_GET_req],94,19,0,0,1,0
95,REST_X3,95,19,0,0,2,0
96,REST_X3,96,19,0,0,3,0
97,[X0_X3_GET_resp_2xx],97,0,0,0,0,0
98,REST_X0,98,2,0,0,0,0
99,[X0_X1_GET_req],99,3,1,0,0,0
100,REST_X1,100,3,2,0,0,0
101,REST_X1,101,3,3,0,0,0
102,[X0_X1_GET_resp_2xx],102,0,0,0,0,0
103,REST_X0,103,26,0,0,0,0
104,[X0_X4_GET_req],104,27,0,0,0,1
105,REST_X4,105,27,0,0,0,2
106,REST_X4,106,27,0,0,0,3
107,[X0_X4_GET_resp_2xx],107,0,0,0,0,0
108,REST_X0,108,2,0,0,0,0
109,[X0_X1_GET_req],109,3,1,0,0,0
110,REST_X1,110,3,2,0,0,0
111,REST_X1,111,3,3,0,0,0
112,[X0_X1_GET_resp_2xx],112,0,0,0,0,0
113,REST_X0,113,2,0,0,0,0
114,[X0_X1_GET_req],114,3,1,0,0,0
115,REST_X1,115,3,2,0,0,0
116,REST_X1,116,3,3,0,0,0
117,[X0_X1_GET_resp_2xx],117,0,0,0,0,0
118,REST_X0,118,26,0,0,0,0
119,[X0_X4_GET_req],119,27,0,0,0,1
120,REST_X4,120,27,0,0,0,2
121,REST_X4,121,27,0,0,0,3
122,[X0_X4_GET_resp_2xx],122,0,0,0,0,0
123,REST_X0,123,26,0,0,0,0
124,[X0_X4_GET_req],124,27,0,0,0,1
125,REST_X4,125,27,0,0,0,2
126,REST_X4,126,27,0,0,0,3
127,[X0_X4_GET_resp_2xx],127,0,0,0,0,0
128,REST_X0,128,26,0,0,0,0
129,[X0_X4_GET_req],129,27,0,0,0,1
130,REST_X4,130,27,0,0,0,2
131,REST_X4,131,27,0,0,0,3
132,[X0_X4_GET_resp_2xx],132,0,0,0,0,0
133,REST_X0,133,26,0,0,0,0
134,[X0_X4_GET_req],134,27,0,0,0,1
135,REST_X4,135,27,0,0,0,2
136,REST_X4,136,27,0,0,0,3
137,[X0_X4_GET_resp_2xx],137,0,0,0,0,0
138,REST_X0,138,18,0,0,0,0
139,[X0_X3_GET_req],139,19,0,0,1,0
140,REST_X3,140,19,0,0,2,0
141,REST_X3,141,19,0,0,3,0
142,[X0_X3_GET_resp_2xx],142,0,0,0,0,0
143,REST_X0,143,18,0,0,0,0
144,[X0_X3_GET_req],144,19,0,0,1,0
145,REST_X3,145,19,0,0,2,0
146,REST_X3,146,19,0,0,4,0
147,[X0_X3_GET_resp_5xx],147,20,0,0,0,0
148,[X0_X3_GET_req],148,21,0,0,1,0
149,REST_X3,149,21,0,0,2,0
150,REST_X3,150,21,0,0,3,0
151,[X0_X3_GET_resp_2xx],151,0,0,0,0,0
152,REST_X0,152,18,0,0,0,0
153,[X0_X3_GET_req],153,19,0,0,1,0
154,REST_X3,154,19,0,0,2,0
155,REST_X3,155,19,0,0,3,0
156,[X0_X3_GET_resp_2xx],156,0,0,0,0,0
157,REST_X0,157,18,0,0,0,0
158,[X0_X3_GET_req],158,19,0,0,1,0
159,REST_X3,159,19,0,0,2,0
160,REST_X3,160,19,0,0,3,0
161,[X0_X3_GET_resp_2xx],161,0,0,0,0,0
162,REST_X0,162,18,0,0,0,0
163,[X0_X3_GET_req],163,19,0,0,1,0
164,REST_X3,164,19,0,0,2,0
165,REST_X3,165,19,0,0,3,0
166,[X0_X3_GET_resp_2xx],166,0,0,0,0,0
167,REST_X0,167,10,0,0,0,0
168,[X0_X2_GET_req],168,11,0,1,0,0
169,REST_X2,169,11,0,2,0,0
170,REST_X2,170,11,0,3,0,0
171,[X0_X2_GET_resp_2xx],171,0,0,0,0,0
172,REST_X0,172,26,0,0,0,0
173,[X0_X4_GET_req],173,27,0,0,0,1
174,REST_X4,174,27,0,0,0,2
175,REST_X4,175,27,0,0,0,3
176,[X0_X4_GET_resp_2xx],176,0,0,0,0,0
177,REST_X0,177,26,0,0,0,0
178,[X0_X4_GET_req],178,27,0,0,0,1
179,REST_X4,179,27,0,0,0,2
180,REST_X4,180,27,0,0,0,3
181,[X0_X4_GET_resp_2xx],181,0,0,0,0,0
182,REST_X0,182,18,0,0,0,0
183,[X0_X3_GET_req],183,19,0,0,1,0
184,REST_X3,184,19,0,0,2,0
185,REST_X3,185,19,0,0,3,0
186,[X0_X3_GET_resp_2xx],186,0,0,0,0,0
187,REST_X0,187,10,0,0,0,0
188,[X0_X2_GET_req],188,11,0,1,0,0
189,REST_X2,189,11,0,2,0,0
190,REST_X2,190,11,0,3,0,0
191,[X0_X2_GET_resp_2xx],191,0,0,0,0,0
192,REST_X0,192,2,0,0,0,0
193,[X0_X1_GET_req],193,3,1,0,0,0
194,REST_X1,194,3,2,0,0,0
195,REST_X1,195,3,3,0,0,0
196,[X0_X1_GET_resp_2xx],196,0,0,0,0,0
197,REST_X0,197,26,0,0,0,0
198,[X0_X4_GET_req],198,27,0,0,0,1
199,REST_X4,199,27,0,0,0,2
200,REST_X4,200,27,0,0,0,3
201,[X0_X4_GET_resp_2xx],201,0,0,0,0,0
202,REST_X0,202,18,0,0,0,0
203,[X0_X3_GET_req],203,19,0,0,1,0
204,REST_X3,204,19,0,0,2,0
205,REST_X3,205,19,0,0,3,0
206,[X0_X3_GET_resp_2xx],206,0,0,0,0,0
207,REST_X0,207,26,0,0,0,0
208,[X0_X4_GET_req],208,27,0,0,0,1
209,REST_X4,209,27,0,0,0,2
210,REST_X4,210,27,0,0,0,3
211,[X0_X4_GET_resp_2xx],211,0,0,0,0,0
212,REST_X0,212,18,0,0,0,0
213,[X0_X3_GET_req],213,19,0,0,1,0
214,REST_X3,214,19,0,0,2,0
215,REST_X3,215,19,0,0,3,0
216,[X0_X3_GET_resp_2xx],216,0,0,0,0,0
217,REST_X0,217,26,0,0,0,0
218,[X0_X4_GET_req],218,27,0,0,0,1
219,REST_X4,219,27,0,0,0,2
220,REST_X4,220,27,0,0,0,3
221,[X0_X4_GET_resp_2xx],221,0,0,0,0,0
222,REST_X0,222,10,0,0,0,0
223,[X0_X2_GET_req],223,11,0,1,0,0
224,REST_X2,224,11,0,2,0,0
225,REST_X2,225,11,0,3,0,0
226,[X0_X2_GET_resp_2xx],226,0,0,0,0,0
227,REST_X0,227,2,0,0,0,0
228,[X0_X1_GET_req],228,3,1,0,0,0
229,REST_X1,229,3,2,0,0,0
230,REST_X1,230,3,4,0,0,0
231,[X0_X1_GET_resp_5xx],231,4,0,0,0,0
232,[X0_X1_GET_req],232,5,1,0,0,0
233,REST_X1,233,5,2,0,0,0
234,REST_X1,234,5,3,0,0,0
235,[X0_X1_GET_resp_2xx],235,0,0,0,0,0
236,REST_X0,236,18,0,0,0,0
237,[X0_X3_GET_req],237,19,0,0,1,0
238,REST_X3,238,19,0,0,2,0
239,REST_X3,239,19,0,0,3,0
240,[X0_X3_GET_resp_2xx],240,0,0,0,0,0
241,REST_X0,241,26,0,0,0,0
242,[X0_X4_GET_req],242,27,0,0,0,1
243,REST_X4,243,27,0,0,0,2
244,REST_X4,244,27,0,0,0,3
245,[X0_X4_GET_resp_2xx],245,0,0,0,0,0
246,REST_X0,246,2,0,0,0,0
247,[X0_X1_GET_req],247,3,1,0,0,0
248,REST_X1,248,3,2,0,0,0
249,REST_X1,249,3,3,0,0,0
250,[X0_X1_GET_resp_2xx],250,0,0,0,0,0
251,REST_X0,251,18,0,0,0,0
252,[X0_X3_GET_req],252,19,0,0,1,0
253,REST_X3,253,19,0,0,2,0
