,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6,s_X7,s_X8,s_X9,s_X10,s_X11,s_X12,s_X13,s_X14,s_X15,s_X16,s_X17,s_X18,s_X19
0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,REST_X0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[X0_X7_GET_req],2,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,REST_X7,3,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4,REST_X7,4,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
5,[X7_X5_GET_req],5,11,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
6,REST_X5,6,11,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
7,REST_X5,7,11,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
8,[X5_X11_GET_req],8,11,0,0,0,0,6,0,6,0,0,0,1,0,0,0,0,0,0,0,0
9,REST_X11,9,11,0,0,0,0,6,0,6,0,0,0,2,0,0,0,0,0,0,0,0
10,REST_X11,10,11,0,0,0,0,6,0,6,0,0,0,5,0,0,0,0,0,0,0,0
11,[X11_X13_GET_req],11,11,0,0,0,0,6,0,6,0,0,0,6,0,1,0,0,0,0,0,0
12,REST_X13,12,11,0,0,0,0,6,0,6,0,0,0,6,0,2,0,0,0,0,0,0
13,REST_X13,13,11,0,0,0,0,6,0,6,0,0,0,6,0,9,0,0,0,0,0,0
14,[X13_X10_GET_req],14,11,0,0,0,0,6,0,6,0,0,1,6,0,10,0,0,0,0,0,0
15,REST_X10,15,11,0,0,0,0,6,0,6,0,0,2,6,0,10,0,0,0,0,0,0
16,REST_X10,16,11,0,0,0,0,6,0,6,0,0,5,6,0,10,0,0,0,0,0,0
17,[X10_X19_GET_req],17,11,0,0,0,0,6,0,6,0,0,6,6,0,10,0,0,0,0,0,1
18,REST_X19,18,11,0,0,0,0,6,0,6,0,0,6,6,0,10,0,0,0,0,0,2
19,REST_X19,19,11,0,0,0,0,6,0,6,0,0,6,6,0,10,0,0,0,0,0,3
20,[X10_X19_GET_resp_2xx],20,11,0,0,0,0,6,0,6,0,0,3,6,0,10,0,0,0,0,0,0
21,[X13_X10_GET_resp_2xx],21,11,0,0,0,0,6,0,6,0,0,0,6,0,3,0,0,0,0,0,0
22,[X11_X13_GET_resp_2xx],22,11,0,0,0,0,6,0,6,0,0,0,3,0,0,0,0,0,0,0,0
23,[X5_X11_GET_resp_2xx],23,11,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
24,[X7_X5_GET_resp_2xx],24,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
25,[X0_X7_GET_resp_2xx],25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,REST_X0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,[X0_X17_GET_req],27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,REST_X17,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
29,REST_X17,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
30,[X17_X12_GET_req],30,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0
31,REST_X12,31,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0
32,REST_X12,32,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0
33,[X12_X4_GET_req],33,3,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0
34,REST_X4,34,3,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0
35,REST_X4,35,3,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0
36,[X4_X1_GET_req],36,3,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0
37,REST_X1,37,3,2,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0
38,REST_X1,38,3,5,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0
39,[X1_X16_GET_req],39,3,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,1,6,0,0
40,REST_X16,40,3,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,2,6,0,0
41,REST_X16,41,3,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,4,6,0,0
42,[X1_X16_GET_resp_5xx],42,3,7,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0
43,[X1_X16_GET_req],43,3,8,0,0,6,0,0,0,0,0,0,0,6,0,0,0,1,6,0,0
44,REST_X16,44,3,8,0,0,6,0,0,0,0,0,0,0,6,0,0,0,2,6,0,0
45,REST_X16,45,3,8,0,0,6,0,0,0,0,0,0,0,6,0,0,0,3,6,0,0
46,[X1_X16_GET_resp_2xx],46,3,3,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0
47,[X4_X1_GET_resp_2xx],47,3,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0
48,[X12_X4_GET_resp_2xx],48,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0
49,[X17_X12_GET_resp_2xx],49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
50,[X0_X17_GET_resp_2xx],50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,REST_X0,51,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
